1901-06-01	一九零一 辛丑[牛]年 四月小十五	周六	无	钟离祖师诞	国际儿童节	辛丑 癸巳 庚戌 辛巳	无	芒种 (6, 6)	牛	双子座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、颁诏、解除、恤孤茕、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、祈福	经络、畋猎、取鱼、开仓
1901-06-02	一九零一 辛丑[牛]年 四月小十六	周日	无	无	无	辛丑 癸巳 辛亥 癸巳	无	芒种 (6, 6)	牛	双子座	沐浴、破屋坏垣、赴任、入宅、恤孤茕、解除、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、补垣、开仓、鼓铸、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1901-06-03	一九零一 辛丑[牛]年 四月小十七	周一	无	十殿转轮王诞	无	辛丑 癸巳 壬子 乙巳	无	芒种 (6, 6)	牛	双子座	沐浴、覃恩、恤孤茕、雪冤	结婚姻、嫁娶、修造、求医疗病、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、安葬、补垣、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、招贤、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、上册、塞穴、修宫室、立券交易、祈福
1901-06-04	一九零一 辛丑[牛]年 四月小十八	周二	无	紫徽大帝诞	无	辛丑 癸巳 癸丑 丁巳	无	芒种 (6, 6)	牛	双子座	出行、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、庆赐、临政、裁制、修仓库、恤孤茕、纳畜、筑堤防、布政事、举正直、酝酿、覃恩、雪冤、缮城郭、施恩、上册、修宫室、立券交易	冠带、选将、取鱼、远回、乘船渡水、出师
1901-06-05	一九零一 辛丑[牛]年 四月小十九	周三	无	无	世界环境日	辛丑 癸巳 甲寅 己巳	无	芒种 (6, 6)	牛	双子座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
1901-06-06	一九零一 辛丑[牛]年 四月小二十	周四	无	眼光圣母诞	全国爱眼日	辛丑 甲午 乙卯 辛巳	芒种	夏至 (6, 22)	牛	双子座	祭祀	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室、立券交易、祈福
1901-06-07	一九零一 辛丑[牛]年 四月小廿一	周五	无	无	无	辛丑 甲午 丙辰 癸巳	无	夏至 (6, 22)	牛	双子座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、赴任、颁诏、恤孤茕、解除、入宅、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福、诉讼	伐木、畋猎、取鱼、整手足甲
1901-06-08	一九零一 辛丑[牛]年 四月小廿二	周六	无	无	世界海洋日	辛丑 甲午 丁巳 乙巳	无	夏至 (6, 22)	牛	双子座	补垣、裁制、恤孤茕、筑堤防、覃恩、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、颁诏、解除、出师、招贤、布政事、整容、选将、举正直、针刺、求嗣、营建、施恩、安抚边境、宣政事、上册、修宫室、疗目、祈福
1901-06-09	一九零一 辛丑[牛]年 四月小廿三	周日	无	无	无	辛丑 甲午 戊午 丁巳	无	夏至 (6, 22)	牛	双子座	诸事不宜	诸事不宜
1901-06-10	一九零一 辛丑[牛]年 四月小廿四	周一	无	无	无	辛丑 甲午 己未 己巳	无	夏至 (6, 22)	牛	双子座	祭祀、宴会、沐浴、剃头、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、裁制、开仓、立券交易、解除、纳畜、整容、举正直、酝酿、求嗣、缮城郭、施恩、整手足甲、修宫室、祈福	诸事不忌
1901-06-11	一九零一 辛丑[牛]年 四月小廿五	周二	无	无	中国人口日	辛丑 甲午 庚申 辛巳	无	夏至 (6, 22)	牛	双子座	出行、沐浴、剃头、上表章、进人口、竖柱上梁、开市、纳财、扫舍宇、安葬、补垣、搬移、裁制、解除、整容、缮城郭、塞穴、上册、修宫室、整手足甲	祭祀、结婚姻、嫁娶、安床、招贤、举正直、施恩、纳采
1901-06-12	一九零一 辛丑[牛]年 四月小廿六	周三	无	无	无	辛丑 甲午 辛酉 癸巳	无	夏至 (6, 22)	牛	双子座	沐浴、剃头、扫舍宇、平治道涂、赴任、入宅、恤孤茕、整容、覃恩、雪冤、修饰垣墙、整手足甲	宴会、冠带、修置产室、开渠、穿井、畋猎、启攒、筑堤防、布政事、取鱼、鼓铸、修宫室、开仓
1901-06-13	一九零一 辛丑[牛]年 四月小廿七	周四	无	无	无	辛丑 甲午 壬戌 乙巳	无	夏至 (6, 22)	牛	双子座	祭祀、宴会、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、庆赐、临政、裁制、纳采、纳畜、酝酿、缮城郭、修宫室、祈福	求医疗病、开市、修置产室、开渠、穿井、栽种、解除、开仓
