1907-05-01	一九零七 丁未[羊]年 三月小十九	周三	国际劳动节	中岳大帝诞	无	丁未 甲辰 庚戌 辛巳	无	立夏 (5, 7)	羊	金牛座	祭祀、沐浴、求医疗病、解除、恤孤茕、覃恩、雪冤	嫁娶、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、筑堤防、营建、修饰垣墙、取鱼、宣政事、上册、塞穴
1907-05-02	一九零七 丁未[羊]年 三月小二十	周四	无	子孙娘娘诞	无	丁未 甲辰 辛亥 癸巳	无	立夏 (5, 7)	羊	金牛座	宴会、安床、沐浴、纳财、牧养、庆赐、布政事、选将、覃恩、安抚边境、取鱼、恤孤茕、纳畜、雪冤	出行、嫁娶、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、补垣、开仓、修仓库、解除、筑堤防、酝酿、求嗣、营建、缮城郭、修饰垣墙、修宫室、祈福
1907-05-03	一九零七 丁未[羊]年 三月小廿一	周五	无	无	世界新闻自由日	丁未 甲辰 壬子 乙巳	无	立夏 (5, 7)	羊	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、牧养、安葬、庆赐、临政、裁制、纳采、赴任、颁诏、入宅、恤孤茕、解除、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、上册、祈福、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、取鱼、修饰垣墙、远回、整手足甲、开仓
1907-05-04	一九零七 丁未[羊]年 三月小廿二	周六	无	无	中国青年节	丁未 甲辰 癸丑 丁巳	无	立夏 (5, 7)	羊	金牛座	进人口、纳财、捕捉、覃恩、取鱼、纳畜、恤孤茕、雪冤	出行、结婚姻、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、招贤、筑堤防、举正直、酝酿、营建、缮城郭、施恩、宣政事、修饰垣墙、上册、修宫室、立券交易
1907-05-05	一九零七 丁未[羊]年 三月小廿三	周日	无	无	马克思诞辰纪念日	丁未 甲辰 甲寅 己巳	无	立夏 (5, 7)	羊	金牛座	宴会、上表章、上官、入学、开市、牧养、庆赐、临政、搬移、裁制、立券交易、颁诏、恤孤茕、解除、招贤、覃恩、举正直、求嗣、雪冤、施恩、宣政事、上册、祈福	祭祀、嫁娶、平治道涂、破屋坏垣、伐木、畋猎、筑堤防、营建、补垣、取鱼、修饰垣墙、整手足甲、针刺、乘船渡水、出师、开仓、纳采
1907-05-06	一九零七 丁未[羊]年 三月小廿四	周一	无	无	无	丁未 甲辰 乙卯 辛巳	无	立夏 (5, 7)	羊	金牛座	塞穴	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、疗目、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、修宫室、祈福
1907-05-07	一九零七 丁未[羊]年 三月小廿五	周二	无	无	无	丁未 乙巳 丙辰 癸巳	立夏	小满 (5, 22)	羊	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、取鱼、宣政事、安抚边境、修饰垣墙、上册、塞穴、修宫室、整手足甲、疗目、祈福
1907-05-08	一九零七 丁未[羊]年 三月小廿六	周三	无	无	世界红十字日	丁未 乙巳 丁巳 乙巳	无	小满 (5, 22)	羊	金牛座	宴会、上官、进人口、经络、纳财、庆赐、临政、搬移、裁制、赴任、颁诏、入宅、恤孤茕、纳畜、招贤、举正直、酝酿、覃恩、雪冤、施恩、宣政事、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲、祈福
1907-05-09	一九零七 丁未[羊]年 三月小廿七	周四	无	七殿泰山王诞	无	丁未 乙巳 戊午 丁巳	无	小满 (5, 22)	羊	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、庆赐、裁制、整容、整手足甲	嫁娶、上表章、冠带、修置产室、招贤、筑堤防、修仓库、营建、取鱼、上册、苫盖、乘船渡水、纳畜
1907-05-10	一九零七 丁未[羊]年 三月小廿八	周五	无	苍颉至圣先师诞	无	丁未 乙巳 己未 己巳	无	小满 (5, 22)	羊	金牛座	诸事不宜	祭祀、嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、破土、启攒、补垣、鼓铸、颁诏、乘船渡水、纳畜、出师、招贤、布政事、选将、整容、筑堤防、营建、安抚边境、修饰垣墙、宣政事、取鱼、远回、整手足甲
1907-05-11	一九零七 丁未[羊]年 三月小廿九	周六	无	无	世界肥胖日	丁未 乙巳 庚申 辛巳	无	小满 (5, 22)	羊	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、整容、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、修饰垣墙、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	安床、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、布政事、筑堤防、补垣、取鱼、鼓铸、塞穴、修宫室、针刺
