1908-02-01 10:00:00	一九零七 丁未[羊]年 腊月小廿九	星期六	华、严、菩、萨、诞	丁未 癸丑 丙戌 癸巳	无	立春 (2, 5)	羊	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1908-02-02 10:00:00	一九零八 戊申[猴]年 正月大初一	星期日	春、节、世、界、湿、地、日、弥、勒、佛、圣、诞	戊申 癸丑 丁亥 乙巳	无	立春 (2, 5)	猴	水瓶座	沐浴、入学、雪冤、恤孤茕、覃恩	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、远回、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1908-02-03 10:00:00	一九零八 戊申[猴]年 正月大初二	星期一	无	戊申 癸丑 戊子 丁巳	无	立春 (2, 5)	猴	水瓶座	祭祀、沐浴、经络、安葬、入宅、塞穴、酝酿	出行、安床、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、营建、开仓、招贤、施恩、选将、解除、针刺、颁诏、修饰垣墙、出师、布政事、修仓库、缮城郭、上册、疗目、远回、宣政事、举正直、修宫室、安抚边境、庆赐
1908-02-04 10:00:00	一九零八 戊申[猴]年 正月大初三	星期二	世、界、抗、癌、日	戊申 癸丑 己丑 己巳	无	立春 (2, 5)	猴	水瓶座	宴会、经络、纳财、纳畜、施恩、举正直、酝酿、裁制、庆赐	祭祀、剃头、求医疗病、上表章、冠带、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、营建、开仓、解除、颁诏、整容、修饰垣墙、祈福、补垣、取鱼、整手足甲、上册、求嗣、宣政事、筑堤防、搬移
1908-02-05 10:00:00	一九零八 戊申[猴]年 正月大初四	星期三	无	戊申 甲寅 庚寅 辛巳	立春	雨水 (2, 20)	猴	水瓶座	宴会、纳财、纳畜、施恩、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、庆赐、雪冤	祭祀、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、启攒、营建、开仓、解除、整容、修饰垣墙、祈福、补垣、取鱼、上册、整手足甲、求嗣、筑堤防、搬移
1908-02-06 10:00:00	一九零八 戊申[猴]年 正月大初五	星期四	无	戊申 甲寅 辛卯 癸巳	无	雨水 (2, 20)	猴	水瓶座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、营建、纳畜、招贤、施恩、选将、解除、颁诏、整容、修仓库、出师、祈福、缮城郭、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、裁制、搬移、安抚边境、庆赐、雪冤、临政	冠带、修置产室、穿井、畋猎、乘船渡水、开仓、修宫室、筑堤防、取鱼
1908-02-07 10:00:00	一九零八 戊申[猴]年 正月大初六	星期五	京、汉、铁、路、罢、工、纪、念	戊申 甲寅 壬辰 乙巳	无	雨水 (2, 20)	猴	水瓶座	出行、宴会、修造、上表章、竖柱上梁、经络、牧养、安葬、营建、纳畜、解除、颁诏、祈福、缮城郭、上册、求嗣、宣政事、覃恩、恤孤茕、裁制、搬移、庆赐、雪冤、修宫室	祭祀、开渠、穿井、畋猎、乘船渡水、取鱼、鼓铸、整手足甲
1908-02-08 10:00:00	一九零八 戊申[猴]年 正月大初七	星期六	无	戊申 甲寅 癸巳 丁巳	无	雨水 (2, 20)	猴	水瓶座	平治道涂、赴任、入宅	祭祀、出行、结婚姻、宴会、剃头、求医疗病、上表章、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、出师、修仓库、布政事、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、求嗣、宣政事、举正直、筑堤防、塞穴、裁制、安抚边境、庆赐、修宫室
1908-02-09 10:00:00	一九零八 戊申[猴]年 正月大初八	星期日	五、殿、阎、罗、天、子、诞	戊申 甲寅 甲午 己巳	无	雨水 (2, 20)	猴	水瓶座	祭祀、结婚姻、宴会、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、赴任、营建、纳畜、招贤、施恩、颁诏、缮城郭、祈福、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、酝酿、诉讼、裁制、搬移、庆赐、雪冤、临政、修宫室	修置产室、出师、苫盖
1908-02-10 10:00:00	一九零八 戊申[猴]年 正月大初九	星期一	国、际、气、象、节、玉、皇、上、帝、诞	戊申 甲寅 乙未 辛巳	无	雨水 (2, 20)	猴	水瓶座	捕捉	出行、结婚姻、嫁娶、安床、修造、求医疗病、上官、冠带、进人口、竖柱上梁、开市、修置产室、栽种、牧养、安葬、启攒、营建、纳畜、选将、解除、出师、缮城郭、纳采、筑堤防、立券交易、搬移、安抚边境、临政、修宫室
1908-02-11 10:00:00	一九零八 戊申[猴]年 正月大初十	星期二	无	戊申 甲寅 丙申 癸巳	无	雨水 (2, 20)	猴	水瓶座	祭祀、沐浴、求医疗病、扫舍宇、破屋坏垣、解除、覃恩、恤孤茕、雪冤	冠带、修置产室、开渠、穿井、安碓硙、伐木、畋猎、启攒、鼓铸、取鱼、补垣、筑堤防、塞穴、修饰垣墙、布政事
1908-02-12 10:00:00	一九零八 戊申[猴]年 正月大十一	星期三	无	戊申 甲寅 丁酉 乙巳	无	雨水 (2, 20)	猴	水瓶座	祭祀、出行、结婚姻、嫁娶、安床、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、营建、开仓、纳畜、招贤、选将、施恩、解除、颁诏、修仓库、出师、祈福、缮城郭、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、安抚边境、雪冤、临政、修宫室	宴会、剃头、冠带、修置产室、畋猎、筑堤防、取鱼
1908-02-13 10:00:00	一九零八 戊申[猴]年 正月大十二	星期四	无	戊申 甲寅 戊戌 丁巳	无	雨水 (2, 20)	猴	水瓶座	出行、结婚姻、宴会、嫁娶、修造、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、修仓库、缮城郭、入宅、纳采、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室	安床、剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、招贤、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、祈福、补垣、鼓铸、上册、整手足甲、远回、求嗣、宣政事、塞穴
1908-02-14 10:00:00	一九零八 戊申[猴]年 正月大十三	星期五	情、人、节	戊申 甲寅 己亥 己巳	无	雨水 (2, 20)	猴	水瓶座	祭祀、结婚姻、宴会、沐浴、进人口、经络、开市、纳财、捕捉、栽种、牧养、安葬、开仓、纳畜、祈福、立券交易、酝酿	出行、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、竖柱上梁、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、营建、招贤、施恩、选将、解除、开张、颁诏、整容、修饰垣墙、出师、修仓库、布政事、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、塞穴、裁制、搬移、安抚边境、庆赐、临政
1908-02-15 10:00:00	一九零八 戊申[猴]年 正月大十四	星期六	无	戊申 甲寅 庚子 辛巳	无	雨水 (2, 20)	猴	水瓶座	沐浴、入学、覃恩、恤孤茕、雪冤	结婚姻、冠带、进人口、竖柱上梁、经络、伐木、畋猎、安葬、营建、开仓、布政事、补垣、入宅、取鱼、乘船渡水、纳采、筑堤防、塞穴、酝酿
1908-02-16 10:00:00	一九零八 戊申[猴]年 正月大十五	星期日	元、宵、节	戊申 甲寅 辛丑 癸巳	无	雨水 (2, 20)	猴	水瓶座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、针刺、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、整手足甲、上册、疗目、远回、纳采、宣政事、举正直、求嗣、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1908-02-17 10:00:00	一九零八 戊申[猴]年 正月大十六	星期一	无	戊申 甲寅 壬寅 乙巳	无	雨水 (2, 20)	猴	水瓶座	宴会、经络、纳财、牧养、纳畜、施恩、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、庆赐、雪冤	祭祀、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、启攒、开仓、取鱼、补垣、筑堤防、整容、修饰垣墙、整手足甲
1908-02-18 10:00:00	一九零八 戊申[猴]年 正月大十七	星期二	无	戊申 甲寅 癸卯 丁巳	无	雨水 (2, 20)	猴	水瓶座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、扫舍宇、赴任、选将、解除、整容、出师、入宅、整手足甲、纳采、立券交易、搬移、安抚边境、临政	上表章、冠带、竖柱上梁、修置产室、穿井、栽种、牧养、营建、纳畜、开仓、招贤、修仓库、祈福、缮城郭、取鱼、上册、乘船渡水、求嗣、修宫室、筑堤防
