1913-04-01 10:00:00	一九一三 癸丑[牛]年 二月大廿五	星期二	国、际、愚、人、节	癸丑 乙卯 壬子 乙巳	无	清明 (4, 5)	牛	白羊座	诸事不宜	诸事不宜
1913-04-02 10:00:00	一九一三 癸丑[牛]年 二月大廿六	星期三	国、际、儿、童、图、书、日	癸丑 乙卯 癸丑 丁巳	无	清明 (4, 5)	牛	白羊座	出行、宴会、求医疗病、上表章、上官、入学、牧养、赴任、纳畜、招贤、施恩、解除、颁诏、祈福、入宅、上册、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、庆赐、雪冤、临政	结婚姻、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、营建、乘船渡水、开仓、取鱼、补垣、筑堤防、塞穴、修饰垣墙、鼓铸
1913-04-03 10:00:00	一九一三 癸丑[牛]年 二月大廿七	星期四	无	癸丑 乙卯 甲寅 己巳	无	清明 (4, 5)	牛	白羊座	经络、纳财、栽种、牧养、安葬、纳畜、缮城郭、补垣、筑堤防、覃恩、恤孤茕、立券交易、塞穴、酝酿、裁制、雪冤	祭祀、安床、进人口、修置产室、开渠、穿井、畋猎、疗目、远回、修宫室、针刺、取鱼、布政事
1913-04-04 10:00:00	一九一三 癸丑[牛]年 二月大廿八	星期五	无	癸丑 乙卯 乙卯 辛巳	无	清明 (4, 5)	牛	白羊座	出行、宴会、上官、进人口、经络、纳财、纳畜、招贤、施恩、举正直、立券交易、酝酿、裁制、庆赐、临政	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、营建、开仓、苫盖、解除、整容、修饰垣墙、补垣、取鱼、上册、整手足甲、乘船渡水、求嗣、筑堤防、搬移
1913-04-05 10:00:00	一九一三 癸丑[牛]年 二月大廿九	星期六	清、明、节	癸丑 丙辰 丙辰 癸巳	清明	谷雨 (4, 21)	牛	白羊座	祭祀	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、修仓库、布政事、出师、祈福、缮城郭、补垣、鼓铸、整手足甲、上册、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1913-04-06 10:00:00	一九一三 癸丑[牛]年 二月大三十	星期日	无	癸丑 丙辰 丁巳 乙巳	无	谷雨 (4, 21)	牛	白羊座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、修仓库、祈福、缮城郭、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政、修宫室	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、修饰垣墙、补垣、筑堤防、塞穴、取鱼、鼓铸、布政事
1913-04-07 10:00:00	一九一三 癸丑[牛]年 三月小初一	星期一	世、界、卫、生、日、二、殿、楚、江、王、诞	癸丑 丙辰 戊午 丁巳	无	谷雨 (4, 21)	牛	白羊座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、开仓、解除、修仓库、祈福、缮城郭、补垣、入宅、上册、纳采、求嗣、立券交易、塞穴、裁制、搬移、庆赐、临政、修宫室	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、营建、招贤、选将、苫盖、颁诏、整容、修饰垣墙、出师、布政事、鼓铸、整手足甲、宣政事、筑堤防、安抚边境
1913-04-08 10:00:00	一九一三 癸丑[牛]年 三月小初二	星期二	无	癸丑 丙辰 己未 己巳	无	谷雨 (4, 21)	牛	白羊座	诸事不宜	诸事不宜
1913-04-09 10:00:00	一九一三 癸丑[牛]年 三月小初三	星期三	三、月、三、-、玄、天、上、帝、诞	癸丑 丙辰 庚申 辛巳	无	谷雨 (4, 21)	牛	白羊座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、选将、施恩、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、远回、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1913-04-10 10:00:00	一九一三 癸丑[牛]年 三月小初四	星期四	无	癸丑 丙辰 辛酉 癸巳	无	谷雨 (4, 21)	牛	白羊座	祭祀、结婚姻、嫁娶、沐浴、剃头、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、纳畜、解除、整容、祈福、取鱼、整手足甲、立券交易、酝酿、安抚边境、临政	出行、宴会、安床、修造、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、启攒、营建、开仓、招贤、施恩、选将、颁诏、修饰垣墙、出师、修仓库、布政事、缮城郭、补垣、鼓铸、上册、乘船渡水、纳采、求嗣、宣政事、举正直、筑堤防、塞穴、裁制、搬移、庆赐、修宫室
1913-04-11 10:00:00	一九一三 癸丑[牛]年 三月小初五	星期五	无	癸丑 丙辰 壬戌 乙巳	无	谷雨 (4, 21)	牛	白羊座	祭祀、沐浴、求医疗病、破屋坏垣、解除、覃恩、恤孤茕、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、畋猎、破土、启攒、开仓、修饰垣墙、布政事、补垣、取鱼、鼓铸、乘船渡水、修宫室、筑堤防、立券交易、塞穴、酝酿
