1928-06-01	一九二八 戊辰[龙]年 四月大十四	周五	无	纯阳祖师诞	国际儿童节	戊辰 丁巳 壬申 乙巳	无	芒种 (6, 6)	龙	双子座	祭祀、沐浴、扫舍宇、平治道涂	出行、修造、上表章、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、庆赐、补垣、裁制、纳采、修仓库、鼓铸、颁诏、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、针刺、营建、缮城郭、施恩、安抚边境、宣政事、上册、塞穴、修宫室
1928-06-02	一九二八 戊辰[龙]年 四月大十五	周六	无	钟离祖师诞	无	戊辰 丁巳 癸酉 丁巳	无	芒种 (6, 6)	龙	双子座	沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、搬移、裁制、赴任、入宅、纳畜、酝酿、缮城郭、修宫室	宴会、上表章、修置产室、上册、苫盖、开仓
1928-06-03	一九二八 戊辰[龙]年 四月大十六	周日	无	无	无	戊辰 丁巳 甲戌 己巳	无	芒种 (6, 6)	龙	双子座	沐浴、剃头、上表章、捕捉、整容、选将、安抚边境、整手足甲、解除、出师	出行、修造、修仓库、搬移、开仓
1928-06-04	一九二八 戊辰[龙]年 四月大十七	周一	无	十殿转轮王诞	无	戊辰 丁巳 乙亥 辛巳	无	芒种 (6, 6)	龙	双子座	沐浴、破屋坏垣、解除、恤孤茕、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、补垣、开仓、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1928-06-05	一九二八 戊辰[龙]年 四月大十八	周二	无	紫徽大帝诞	世界环境日	戊辰 丁巳 丙子 癸巳	无	芒种 (6, 6)	龙	双子座	祭祀、宴会、沐浴、经络、庆赐、裁制、颁诏、恤孤茕、覃恩、酝酿、雪冤、宣政事	诸事不忌
1928-06-06	一九二八 戊辰[龙]年 四月大十九	周三	无	无	全国爱眼日	戊辰 戊午 丁丑 乙巳	芒种	夏至 (6, 21)	龙	双子座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1928-06-07	一九二八 戊辰[龙]年 四月大二十	周四	无	眼光圣母诞	无	戊辰 戊午 戊寅 丁巳	无	夏至 (6, 21)	龙	双子座	结婚姻、宴会、求医疗病、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、庆赐、临政、裁制、开仓、纳采、修仓库、入宅、解除、筑堤防、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、立券交易、祈福	祭祀、安葬、选将、远回、出师
1928-06-08	一九二八 戊辰[龙]年 四月大廿一	周五	无	无	世界海洋日	戊辰 戊午 己卯 己巳	无	夏至 (6, 21)	龙	双子座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室、整手足甲、祈福
1928-06-09	一九二八 戊辰[龙]年 四月大廿二	周六	无	无	无	戊辰 戊午 庚辰 辛巳	无	夏至 (6, 21)	龙	双子座	出行、宴会、修造、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、赴任、颁诏、恤孤茕、解除、招贤、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、宣政事、上册、修宫室、祈福、诉讼	嫁娶、伐木、畋猎、取鱼
1928-06-10	一九二八 戊辰[龙]年 四月大廿三	周日	无	无	无	戊辰 戊午 辛巳 癸巳	无	夏至 (6, 21)	龙	双子座	祭祀、栽种、牧养、补垣、裁制、修仓库、恤孤茕、纳畜、筑堤防、覃恩、雪冤、缮城郭、塞穴	出行、修置产室、开渠、穿井、畋猎、破土、启攒、开仓、取鱼、修宫室、整手足甲、针刺、乘船渡水、疗目
1928-06-11	一九二八 戊辰[龙]年 四月大廿四	周一	无	无	中国人口日	戊辰 戊午 壬午 乙巳	无	夏至 (6, 21)	龙	双子座	诸事不宜	诸事不宜
