1931-09-01 10:00:00	一九三一 辛未[羊]年 七月小十九	星期二	太、岁、诞	辛未 丙申 己未 己巳	无	白露 (9, 8)	羊	处女座	诸事不宜	诸事不宜
1931-09-02 10:00:00	一九三一 辛未[羊]年 七月小二十	星期三	无	辛未 丙申 庚申 辛巳	无	白露 (9, 8)	羊	处女座	出行、沐浴、上官、进人口、纳财、扫舍宇、纳畜、招贤、施恩、颁诏、宣政事、举正直、覃恩、恤孤茕、酝酿、裁制、雪冤、临政	安床、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、启攒、营建、开仓、修饰垣墙、祈福、补垣、上册、求嗣、筑堤防
1931-09-03 10:00:00	一九三一 辛未[羊]年 七月小廿一	星期四	中、国、抗、日、战、争、胜、利、纪、念、日	辛未 丙申 辛酉 癸巳	无	白露 (9, 8)	羊	处女座	出行、嫁娶、沐浴、剃头、修造、求医疗病、上官、扫舍宇、安葬、赴任、选将、解除、整容、出师、入宅、整手足甲、纳采、恤孤茕、搬移、安抚边境、雪冤、临政	结婚姻、宴会、上表章、冠带、竖柱上梁、修置产室、捕捉、畋猎、栽种、牧养、营建、开仓、纳畜、招贤、颁诏、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、乘船渡水、求嗣、宣政事、修宫室、筑堤防、塞穴、庆赐
1931-09-04 10:00:00	一九三一 辛未[羊]年 七月小廿二	星期五	增、福、财、神、诞	辛未 丙申 壬戌 乙巳	无	白露 (9, 8)	羊	处女座	出行、宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、营建、开仓、纳畜、解除、颁诏、修仓库、祈福、缮城郭、补垣、上册、求嗣、宣政事、覃恩、恤孤茕、立券交易、塞穴、裁制、搬移、庆赐、雪冤、修宫室	祭祀、开渠、穿井、畋猎、乘船渡水、取鱼
1931-09-05 10:00:00	一九三一 辛未[羊]年 七月小廿三	星期六	无	辛未 丙申 癸亥 丁巳	无	白露 (9, 8)	羊	处女座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、纳财、平治道涂、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、修饰垣墙、修仓库、出师、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政、修宫室	嫁娶、冠带、修置产室、开渠、穿井、畋猎、破土、启攒、乘船渡水、筑堤防、取鱼、鼓铸、整手足甲、布政事
1931-09-06 10:00:00	一九三一 辛未[羊]年 七月小廿四	星期日	无	辛未 丙申 甲子 己巳	无	白露 (9, 8)	羊	处女座	祭祀、出行、结婚姻、宴会、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、赴任、纳畜、施恩、布政事、缮城郭、祈福、纳采、求嗣、举正直、覃恩、恤孤茕、酝酿、诉讼、裁制、搬移、庆赐、雪冤、临政、修宫室	修置产室、出师、选将、安抚边境
1931-09-07 10:00:00	一九三一 辛未[羊]年 七月小廿五	星期一	无	辛未 丙申 乙丑 辛巳	无	白露 (9, 8)	羊	处女座	宴会、纳财、捕捉、牧养、纳畜、庆赐、雪冤、覃恩、恤孤茕、布政事	出行、嫁娶、修造、冠带、畋猎、搬移、远回
1931-09-08 10:00:00	一九三一 辛未[羊]年 七月小廿六	星期二	世、界、扫、盲、日	辛未 丁酉 丙寅 癸巳	白露	秋分 (9, 24)	羊	处女座	沐浴、捕捉、入宅、覃恩、恤孤茕、雪冤	祭祀、安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、开仓、修饰垣墙、补垣、取鱼、鼓铸、远回、修宫室、筑堤防、塞穴、酝酿
1931-09-09 10:00:00	一九三一 辛未[羊]年 七月小廿七	星期三	毛、泽、东、逝、世、纪、念、日	辛未 丁酉 丁卯 乙巳	无	秋分 (9, 24)	羊	处女座	诸事不宜	诸事不宜
1931-09-10 10:00:00	一九三一 辛未[羊]年 七月小廿八	星期四	中、国、教、师、节	辛未 丁酉 戊辰 丁巳	无	秋分 (9, 24)	羊	处女座	覃恩、恤孤茕、雪冤	出行、剃头、修造、求医疗病、上表章、上官、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、营建、开仓、招贤、施恩、解除、颁诏、整容、修饰垣墙、修仓库、出师、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、塞穴、裁制、临政
1931-09-11 10:00:00	一九三一 辛未[羊]年 七月小廿九	星期五	杨、公、忌	辛未 丁酉 己巳 己巳	无	秋分 (9, 24)	羊	处女座	祭祀、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、选将、施恩、修仓库、缮城郭、祈福、上册、纳采、举正直、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室	出行、立券、破土、安葬、启攒、开张
1931-09-12 10:00:00	一九三一 辛未[羊]年 八月小初一	星期六	许、真、君、诞	辛未 丁酉 庚午 辛巳	无	秋分 (9, 24)	羊	处女座	祭祀、捕捉、覃恩、恤孤茕、雪冤	安床、冠带、经络、开市、修置产室、开渠、穿井、畋猎、启攒、开仓、苫盖、布政事、补垣、取鱼、鼓铸、整手足甲、乘船渡水、修宫室、筑堤防、立券交易、塞穴、酝酿
1931-09-13 10:00:00	一九三一 辛未[羊]年 八月小初二	星期日	无	辛未 丁酉 辛未 癸巳	无	秋分 (9, 24)	羊	处女座	出行、宴会、上表章、上官、入学、进人口、开市、纳财、牧养、赴任、纳畜、招贤、施恩、选将、解除、颁诏、祈福、入宅、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政	平治道涂、破屋坏垣、伐木、畋猎、安葬、启攒、营建、乘船渡水、开仓、取鱼、补垣、筑堤防、修饰垣墙
1931-09-14 10:00:00	一九三一 辛未[羊]年 八月小初三	星期一	世、界、清、洁、地、球、日、司、命、灶、君、诞	辛未 丁酉 壬申 乙巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、剃头、经络、纳财、扫舍宇、栽种、牧养、选将、整容、缮城郭、补垣、整手足甲、筑堤防、覃恩、恤孤茕、塞穴、酝酿、裁制、安抚边境、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、安葬、营建、开仓、纳畜、招贤、施恩、解除、针刺、颁诏、出师、布政事、祈福、上册、疗目、纳采、求嗣、宣政事、举正直、立券交易、搬移、庆赐、临政、修宫室
1931-09-15 10:00:00	一九三一 辛未[羊]年 八月小初四	星期二	无	辛未 丁酉 癸酉 丁巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、整容、修饰垣墙、修仓库、布政事、出师、祈福、缮城郭、补垣、取鱼、鼓铸、整手足甲、上册、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1931-09-16 10:00:00	一九三一 辛未[羊]年 八月小初五	星期三	雷、声、大、帝、诞	辛未 丁酉 甲戌 己巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、剃头、扫舍宇、栽种、赴任、施恩、解除、整容、整手足甲、举正直、诉讼、临政	出行、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、牧养、破土、安葬、启攒、开仓、纳畜、选将、针刺、修仓库、出师、祈福、上册、乘船渡水、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1931-09-17 10:00:00	一九三一 辛未[羊]年 八月小初六	星期四	无	辛未 丁酉 乙亥 辛巳	无	秋分 (9, 24)	羊	处女座	出行、宴会、沐浴、上表章、进人口、竖柱上梁、经络、开市、纳财、牧养、营建、解除、颁诏、祈福、缮城郭、补垣、上册、求嗣、宣政事、覃恩、恤孤茕、立券交易、塞穴、裁制、庆赐、雪冤、修宫室	祭祀、嫁娶、畋猎、破土、启攒、取鱼、整手足甲
1931-09-18 10:00:00	一九三一 辛未[羊]年 八月小初七	星期五	“、九、·、一、八、”、事、变、纪、念、日	辛未 丁酉 丙子 癸巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、平治道涂、修饰垣墙、入宅	上表章、冠带、修置产室、开渠、穿井、捕捉、畋猎、安葬、营建、招贤、选将、颁诏、修仓库、出师、布政事、取鱼、鼓铸、上册、宣政事、筑堤防、安抚边境
1931-09-19 10:00:00	一九三一 辛未[羊]年 八月小初八	星期六	无	辛未 丁酉 丁丑 乙巳	无	秋分 (9, 24)	羊	处女座	结婚姻、宴会、进人口、竖柱上梁、经络、安碓硙、牧养、纳畜、缮城郭、纳采、酝酿、裁制、庆赐、修宫室	出行、剃头、求医疗病、上表章、开市、修置产室、开仓、选将、搬移、安抚边境、解除、整容、上册、出师
