1937-01-01	一九三六 丙子[鼠]年	冬月大	十九	周五	丙子 庚子 戊子 丁巳	无	小寒 (1, 6)	元旦节	太阳日宫诞	无	鼠	摩羯座	诸事不宜	诸事不宜
1937-01-02	一九三六 丙子[鼠]年	冬月大	二十	周六	丙子 庚子 己丑 己巳	无	小寒 (1, 6)	无	无	无	鼠	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、安葬、祈福、恤孤茕、雪冤、整容、施恩、立券交易、临政、举正直、解除、酝酿、整手足甲	修造、冠带
1937-01-03	一九三六 丙子[鼠]年	冬月大	廿一	周日	丙子 庚子 庚寅 辛巳	无	小寒 (1, 6)	无	无	无	鼠	摩羯座	宴会、上表章、进人口、竖柱上梁、开市、纳财、栽种、牧养、祈福、缮城郭、裁制、上册、修宫室、求嗣、庆赐、补垣、安抚边境、立券交易、解除、塞穴、选将、出师	祭祀、立券、招贤、远回、开张、整手足甲
1937-01-04	一九三六 丙子[鼠]年	冬月大	廿二	周一	丙子 庚子 辛卯 癸巳	无	小寒 (1, 6)	无	无	无	鼠	摩羯座	平治道涂、入宅、赴任	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、裁制、上册、修宫室、颁诏、求嗣、庆赐、补垣、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
1937-01-05	一九三六 丙子[鼠]年	冬月大	廿三	周二	丙子 庚子 壬辰 乙巳	无	小寒 (1, 6)	无	张仙诞	无	鼠	摩羯座	祭祀、宴会、经络、安碓硙、诉讼、祈福、裁制、颁诏、求嗣、覃恩、恤孤茕、雪冤、庆赐、招贤、宣政事、施恩、举正直、赴任、酝酿	安床、开市、修置产室、开渠、穿井、畋猎、破土、启攒、取鱼、乘船渡水、整手足甲、筑堤防、开仓
1937-01-06	一九三六 丙子[鼠]年	冬月大	廿四	周三	丙子 辛丑 癸巳 丁巳	小寒	大寒 (1, 20)	无	无	无	鼠	摩羯座	结婚姻、宴会、修造、冠带、竖柱上梁、经络、安碓硙、缮城郭、裁制、修宫室、庆赐、临政、纳畜、酝酿、纳采	出行、求医疗病、上表章、开市、修置产室、栽种、破土、安葬、启攒、开仓、上册、补垣、取鱼、安抚边境、解除、塞穴、乘船渡水、选将、鼓铸、出师
1937-01-07	一九三六 丙子[鼠]年	冬月大	廿五	周四	丙子 辛丑 甲午 己巳	无	大寒 (1, 20)	无	无	无	鼠	摩羯座	祭祀、沐浴、剃头、捕捉、畋猎、诉讼、裁制、整容、赴任、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、上册、修宫室、求嗣、庆赐、取鱼、招贤、安抚边境、立券交易、施恩、临政、纳畜、举正直、解除、乘船渡水、修仓库、酝酿、选将、营建、纳采、出师、筑堤防、苫盖
1937-01-08	一九三六 丙子[鼠]年	冬月大	廿六	周五	丙子 辛丑 乙未 辛巳	无	大寒 (1, 20)	无	北方五道诞	无	鼠	摩羯座	覃恩、恤孤茕、雪冤、解除	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、畋猎、启攒、补垣、取鱼、整容、布政事、修饰垣墙、塞穴、鼓铸、整手足甲、筑堤防
1937-01-09	一九三六 丙子[鼠]年	冬月大	廿七	周六	丙子 辛丑 丙申 癸巳	无	大寒 (1, 20)	无	无	无	鼠	摩羯座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、安葬、搬移、开仓、整容、入宅、安抚边境、纳畜、酝酿、选将、整手足甲	结婚姻、宴会、求嗣、庆赐、出师、修仓库
1937-01-10	一九三六 丙子[鼠]年	冬月大	廿八	周日	丙子 辛丑 丁酉 乙巳	无	大寒 (1, 20)	无	无	无	鼠	摩羯座	出行、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、扫舍宇、栽种、牧养、安葬、缮城郭、裁制、上册、修宫室、施恩、临政、举正直、解除、酝酿、整手足甲、筑堤防	宴会、剃头、畋猎、选将、出师、苫盖
1937-01-11	一九三六 丙子[鼠]年	冬月大	廿九	周一	丙子 辛丑 戊戌 丁巳	无	大寒 (1, 20)	无	无	无	鼠	摩羯座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、裁制、上册、修宫室、颁诏、求嗣、庆赐、补垣、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
