1949-05-01	一九四九 己丑[牛]年 四月大初四	周日	国际劳动节	文殊菩萨诞	无	己丑 戊辰 辛卯 癸巳	无	立夏 (5, 6)	牛	金牛座	塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、出师、疗目
1949-05-02	一九四九 己丑[牛]年 四月大初五	周一	无	无	无	己丑 戊辰 壬辰 乙巳	无	立夏 (5, 6)	牛	金牛座	祭祀、恤孤茕、覃恩、雪冤	安床、剃头、冠带、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、鼓铸、整手足甲、布政事、乘船渡水、开仓、整容、筑堤防、补垣、修饰垣墙、塞穴、取鱼
1949-05-03	一九四九 己丑[牛]年 四月大初六	周二	无	无	世界新闻自由日	己丑 戊辰 癸巳 丁巳	无	立夏 (5, 6)	牛	金牛座	沐浴、扫舍宇、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、纳采、鼓铸、布政事、修仓库、求嗣、上册、颁诏、裁制、庆赐、筑堤防、营建、补垣、宣政事、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭
1949-05-04	一九四九 己丑[牛]年 四月大初七	周三	无	无	中国青年节	己丑 戊辰 甲午 己巳	无	立夏 (5, 6)	牛	金牛座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、临政、修仓库、求嗣、解除、上册、裁制、开仓、庆赐、入宅、补垣、修宫室、搬移、塞穴、祈福、缮城郭、立券交易	祭祀、剃头、冠带、立券、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、鼓铸、整手足甲、开张、布政事、颁诏、整容、筑堤防、安抚边境、营建、宣政事、选将、修饰垣墙、招贤、苫盖、出师
1949-05-05	一九四九 己丑[牛]年 四月大初八	周四	无	释迦牟尼佛诞	马克思诞辰纪念日	己丑 戊辰 乙未 辛巳	无	立夏 (5, 6)	牛	金牛座	诸事不宜	诸事不宜
1949-05-06	一九四九 己丑[牛]年 四月大初九	周五	无	无	无	己丑 己巳 丙申 癸巳	立夏	小满 (5, 21)	牛	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、修饰垣墙、搬移、招贤、祈福、缮城郭、立券交易、出师	诸事不忌
1949-05-07	一九四九 己丑[牛]年 四月大初十	周六	无	无	无	己丑 己巳 丁酉 乙巳	无	小满 (5, 21)	牛	金牛座	沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、整手足甲、酝酿、裁制、修宫室、搬移、缮城郭	出行、宴会、剃头、上表章、修置产室、上册、开仓、苫盖
1949-05-08	一九四九 己丑[牛]年 四月大十一	周日	无	无	母亲节,世界红十字日	己丑 己巳 戊戌 丁巳	无	小满 (5, 21)	牛	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、纳采、举正直、整手足甲、临政、求嗣、解除、裁制、庆赐、整容、施恩、修宫室、搬移、祈福、缮城郭	修仓库
1949-05-09	一九四九 己丑[牛]年 四月大十二	周一	无	无	无	己丑 己巳 己亥 己巳	无	小满 (5, 21)	牛	金牛座	沐浴、破屋坏垣、解除、赴任、入宅	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、安葬、启攒、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、整容、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤、取鱼
1949-05-10	一九四九 己丑[牛]年 四月大十三	周二	无	无	无	己丑 己巳 庚子 辛巳	无	小满 (5, 21)	牛	金牛座	祭祀、宴会、沐浴、恤孤茕、颁诏、裁制、庆赐、覃恩、宣政事、雪冤	冠带、进人口、经络、开市、纳财、修置产室、畋猎、开仓、筑堤防、修宫室、立券交易、取鱼
1949-05-11	一九四九 己丑[牛]年 四月大十四	周三	无	纯阳祖师诞	世界肥胖日	己丑 己巳 辛丑 癸巳	无	小满 (5, 21)	牛	金牛座	祭祀、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、筑堤防、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭、立券交易	冠带、畋猎、取鱼、远回、乘船渡水
