1950-05-01	一九五零 庚寅[虎]年 三月大十五	周一	国际劳动节	昊天上帝诞	无	庚寅 庚辰 丙申 癸巳	无	立夏 (5, 6)	虎	金牛座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、出师、取鱼
1950-05-02	一九五零 庚寅[虎]年 三月大十六	周二	无	准提菩萨诞	无	庚寅 庚辰 丁酉 乙巳	无	立夏 (5, 6)	虎	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	宴会、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、补垣、筑堤防、取鱼、修饰垣墙、乘船渡水
1950-05-03	一九五零 庚寅[虎]年 三月大十七	周三	无	无	世界新闻自由日	庚寅 庚辰 戊戌 丁巳	无	立夏 (5, 6)	虎	金牛座	祭祀、沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、乘船渡水、庆赐、开仓、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、缮城郭、立券交易、取鱼
1950-05-04	一九五零 庚寅[虎]年 三月大十八	周四	无	无	中国青年节	庚寅 庚辰 己亥 己巳	无	立夏 (5, 6)	虎	金牛座	安床、沐浴、纳财、牧养、纳畜、安抚边境、选将、取鱼、出师	出行、结婚姻、嫁娶、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、修仓库、求嗣、解除、开仓、筑堤防、营建、补垣、修宫室、修饰垣墙、祈福、缮城郭
1950-05-05	一九五零 庚寅[虎]年 三月大十九	周五	无	中岳大帝诞	马克思诞辰纪念日	庚寅 庚辰 庚子 辛巳	无	立夏 (5, 6)	虎	金牛座	结婚姻、宴会、沐浴、求医疗病、入学、竖柱上梁、纳财、牧养、安葬、纳畜、纳采、举正直、临政、求嗣、解除、赴任、酝酿、裁制、庆赐、开仓、入宅、安抚边境、选将、施恩、祈福、诉讼、出师	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、补垣、远回、整手足甲、修饰垣墙
1950-05-06	一九五零 庚寅[虎]年 三月大二十	周六	无	子孙娘娘诞	无	庚寅 辛巳 辛丑 癸巳	立夏	小满 (5, 21)	虎	金牛座	祭祀、出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、筑堤防、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭、立券交易	冠带、畋猎、取鱼、远回、乘船渡水
1950-05-07	一九五零 庚寅[虎]年 三月大廿一	周日	无	无	无	庚寅 辛巳 壬寅 乙巳	无	小满 (5, 21)	虎	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
1950-05-08	一九五零 庚寅[虎]年 三月大廿二	周一	无	无	世界红十字日	庚寅 辛巳 癸卯 丁巳	无	小满 (5, 21)	虎	金牛座	入学、恤孤茕、覃恩、雪冤	竖柱上梁、经络、穿井、伐木、畋猎、安葬、纳采、布政事、酝酿、开仓、入宅、筑堤防、安抚边境、营建、补垣、选将、塞穴、取鱼、出师
1950-05-09	一九五零 庚寅[虎]年 三月大廿三	周二	无	无	无	庚寅 辛巳 甲辰 己巳	无	小满 (5, 21)	虎	金牛座	诸事不宜	诸事不宜
1950-05-10	一九五零 庚寅[虎]年 三月大廿四	周三	无	无	无	庚寅 辛巳 乙巳 辛巳	无	小满 (5, 21)	虎	金牛座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、恤孤茕、赴任、酝酿、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、立券交易	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、整手足甲、取鱼、修饰垣墙、开仓、筑堤防、整容
1950-05-11	一九五零 庚寅[虎]年 三月大廿五	周四	无	无	世界肥胖日	庚寅 辛巳 丙午 癸巳	无	小满 (5, 21)	虎	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、恤孤茕、颁诏、裁制、庆赐、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、启攒、取鱼、修宫室、乘船渡水、开仓、筑堤防、苫盖
