1952-12-01	一九五二 壬辰[龙]年 十月大十五	周一	无	下元节	世界艾滋病日	壬辰 辛亥 辛巳 癸巳	无	大雪 (12, 7)	龙	射手座	破屋坏垣、覃恩、恤孤茕、雪冤	出行、结婚姻、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、补垣、临政、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、招贤、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、上册、塞穴、整手足甲、修宫室、祈福
1952-12-02	一九五二 壬辰[龙]年 十月大十六	周二	无	无	无	壬辰 辛亥 壬午 乙巳	无	大雪 (12, 7)	龙	射手座	祭祀、宴会、嫁娶、安床、修造、上官、伐木、畋猎、安葬、庆赐、临政、搬移、裁制、纳采、入宅、恤孤茕、出师、布政事、选将、覃恩、雪冤、安抚边境、祈福	出行、结婚姻、求医疗病、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、栽种、牧养、启攒、开仓、修仓库、解除、纳畜、招贤、筑堤防、举正直、求嗣、营建、缮城郭、施恩、上册、苫盖、修宫室、立券交易
1952-12-03	一九五二 壬辰[龙]年 十月大十七	周三	无	无	无	壬辰 辛亥 癸未 丁巳	无	大雪 (12, 7)	龙	射手座	祭祀、结婚姻、宴会、修造、入学、竖柱上梁、经络、开市、纳财、安碓硙、破土、庆赐、裁制、纳采、修仓库、恤孤茕、纳畜、筑堤防、布政事、酝酿、覃恩、雪冤、缮城郭、修宫室、立券交易、祈福	求医疗病、捕捉、畋猎、颁诏、乘船渡水、出师、招贤、选将、取鱼、宣政事
1952-12-04	一九五二 壬辰[龙]年 十月大十八	周四	无	无	无	壬辰 辛亥 甲申 己巳	无	大雪 (12, 7)	龙	射手座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、纳财、扫舍宇、捕捉、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、纳畜、出师、解除、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、整手足甲、祈福	冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、布政事、筑堤防、补垣、取鱼、修饰垣墙、鼓铸、塞穴
1952-12-05	一九五二 壬辰[龙]年 十月大十九	周五	无	无	无	壬辰 辛亥 乙酉 辛巳	无	大雪 (12, 7)	龙	射手座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、扫舍宇、栽种、牧养、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、整手足甲、祈福	宴会、冠带、破屋坏垣、伐木、畋猎、筑堤防、布政事、补垣、取鱼、鼓铸、修饰垣墙、塞穴、入宅
1952-12-06	一九五二 壬辰[龙]年 十月大二十	周六	无	无	无	壬辰 辛亥 丙戌 癸巳	无	大雪 (12, 7)	龙	射手座	诸事不宜	诸事不宜
1952-12-07	一九五二 壬辰[龙]年 十月大廿一	周日	无	无	无	壬辰 壬子 丁亥 乙巳	大雪	冬至 (12, 22)	龙	射手座	祭祀、沐浴、栽种、牧养、补垣、裁制、赴任、入宅、恤孤茕、纳畜、筑堤防、覃恩、雪冤、缮城郭、塞穴	嫁娶、剃头、修置产室、开渠、穿井、畋猎、破土、启攒、整容、布政事、取鱼、修宫室、整手足甲、针刺、疗目、开仓
1952-12-08	一九五二 壬辰[龙]年 十月大廿二	周一	无	无	无	壬辰 壬子 戊子 丁巳	无	冬至 (12, 22)	龙	射手座	诸事不宜	诸事不宜
1952-12-09	一九五二 壬辰[龙]年 十月大廿三	周二	无	无	无	壬辰 壬子 己丑 己巳	无	冬至 (12, 22)	龙	射手座	祭祀、结婚姻、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、安葬、临政、解除、恤孤茕、整容、举正直、酝酿、雪冤、施恩、立券交易、祈福	修造、冠带、立券、开张、乘船渡水
1952-12-10	一九五二 壬辰[龙]年 十月大廿四	周三	无	无	无	壬辰 壬子 庚寅 辛巳	无	冬至 (12, 22)	龙	射手座	宴会、嫁娶、修造、上表章、进人口、竖柱上梁、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、解除、出师、选将、求嗣、缮城郭、安抚边境、塞穴、上册、修宫室、祈福	祭祀、招贤、远回
1952-12-11	一九五二 壬辰[龙]年 十月大廿五	周四	无	无	无	壬辰 壬子 辛卯 癸巳	无	冬至 (12, 22)	龙	射手座	诸事不宜	诸事不宜
