1958-08-01	一九五八 戊戌[狗]年 六月小十六	周五	无	无	中国人民解放军建军节	戊戌 己未 庚戌 辛巳	无	立秋 (8, 8)	狗	狮子座	诸事不宜	诸事不宜
1958-08-02	一九五八 戊戌[狗]年 六月小十七	周六	无	无	无	戊戌 己未 辛亥 癸巳	无	立秋 (8, 8)	狗	狮子座	祭祀、出行、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、牧养、庆赐、临政、搬移、裁制、纳采、恤孤茕、纳畜、布政事、覃恩、举正直、求嗣、雪冤、施恩、祈福	嫁娶、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、启攒、补垣、乘船渡水、出师、筑堤防、选将、营建、安抚边境、取鱼、修饰垣墙、上册
1958-08-03	一九五八 戊戌[狗]年 六月小十八	周日	无	无	无	戊戌 己未 壬子 乙巳	无	立秋 (8, 8)	狗	狮子座	沐浴、剃头、捕捉、恤孤茕、整容、覃恩、雪冤、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、宣政事、修饰垣墙、取鱼、上册、塞穴、远回、修宫室、祈福
1958-08-04	一九五八 戊戌[狗]年 六月小十九	周一	无	观世音菩萨成道日	无	戊戌 己未 癸丑 丁巳	无	立秋 (8, 8)	狗	狮子座	入宅、覃恩、赴任、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1958-08-05	一九五八 戊戌[狗]年 六月小二十	周二	无	无	恩格斯逝世纪念日	戊戌 己未 甲寅 己巳	无	立秋 (8, 8)	狗	狮子座	出行、宴会、安床、上表章、上官、竖柱上梁、经络、开市、纳财、牧养、安葬、庆赐、临政、搬移、裁制、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、雪冤、施恩、宣政事、上册、立券交易	祭祀、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、筑堤防、补垣、取鱼、修饰垣墙、修宫室
1958-08-06	一九五八 戊戌[狗]年 六月小廿一	周三	无	无	国际电影节	戊戌 己未 乙卯 辛巳	无	立秋 (8, 8)	狗	狮子座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、牧养、庆赐、临政、裁制、纳采、举正直、酝酿、施恩、上册	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、选将、补垣、修饰垣墙、苫盖、整手足甲、开仓、出师
1958-08-07	一九五八 戊戌[狗]年 六月小廿二	周四	无	无	无	戊戌 己未 丙辰 癸巳	无	立秋 (8, 8)	狗	狮子座	纳财、捕捉、牧养、纳畜	嫁娶、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、启攒、补垣、修仓库、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、营建、安抚边境、修饰垣墙、宣政事、上册
1958-08-08	一九五八 戊戌[狗]年 六月小廿三	周五	无	无	无	戊戌 庚申 丁巳 乙巳	立秋	处暑 (8, 23)	狗	狮子座	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、捕捉、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、纳畜、解除、招贤、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、立券交易、祈福	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、乘船渡水、布政事、筑堤防、整容、取鱼、修饰垣墙、塞穴、修宫室、整手足甲
1958-08-09	一九五八 戊戌[狗]年 六月小廿四	周六	无	关帝诞	无	戊戌 庚申 戊午 丁巳	无	处暑 (8, 23)	狗	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、入宅、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福	剃头、冠带、破屋坏垣、伐木、畋猎、破土、整容、布政事、筑堤防、补垣、取鱼、鼓铸、修饰垣墙、塞穴、苫盖、整手足甲、开仓
1958-08-10	一九五八 戊戌[狗]年 六月小廿五	周日	无	无	无	戊戌 庚申 己未 己巳	无	处暑 (8, 23)	狗	狮子座	诸事不宜	诸事不宜
1958-08-11	一九五八 戊戌[狗]年 六月小廿六	周一	无	无	无	戊戌 庚申 庚申 辛巳	无	处暑 (8, 23)	狗	狮子座	出行、沐浴、上官、进人口、纳财、扫舍宇、临政、裁制、颁诏、恤孤茕、纳畜、招贤、举正直、酝酿、覃恩、雪冤、施恩、宣政事	安床、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、启攒、补垣、开仓、筑堤防、求嗣、营建、修饰垣墙、上册、祈福
