1964-01-01	一九六三 癸卯[兔]年 冬月大十七	周三	元旦节	阿弥陀佛诞	无	癸卯 甲子 己酉 己巳	无	小寒 (1, 6)	兔	摩羯座	沐浴、剃头、扫舍宇、捕捉、畋猎、整手足甲、恤孤茕、整容、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师、取鱼
1964-01-02	一九六三 癸卯[兔]年 冬月大十八	周四	无	无	无	癸卯 甲子 庚戌 辛巳	无	小寒 (1, 6)	兔	摩羯座	宴会、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、举正直、恤孤茕、布政事、求嗣、解除、裁制、庆赐、覃恩、施恩、修宫室、雪冤、祈福、缮城郭	结婚姻、嫁娶、进人口、经络、伐木、捕捉、畋猎、开仓、安抚边境、选将、取鱼、出师
1964-01-03	一九六三 癸卯[兔]年 冬月大十九	周五	无	太阳日宫诞	无	癸卯 甲子 辛亥 癸巳	无	小寒 (1, 6)	兔	摩羯座	沐浴、恤孤茕、裁制、筑堤防、覃恩、补垣、安抚边境、选将、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、纳采、针刺、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、营建、宣政事、施恩、修宫室、搬移、招贤、祈福、出师、疗目
1964-01-04	一九六三 癸卯[兔]年 冬月大二十	周六	无	无	无	癸卯 甲子 壬子 乙巳	无	小寒 (1, 6)	兔	摩羯座	祭祀、沐浴、覃恩、雪冤、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
1964-01-05	一九六三 癸卯[兔]年 冬月大廿一	周日	无	无	无	癸卯 甲子 癸丑 丁巳	无	小寒 (1, 6)	兔	摩羯座	祭祀、出行、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、举正直、临政、恤孤茕、布政事、解除、赴任、酝酿、裁制、庆赐、入宅、整容、覃恩、施恩、搬移、雪冤、祈福、立券交易	冠带、立券、破土、启攒、开张
1964-01-06	一九六三 癸卯[兔]年 冬月大廿二	周一	无	无	无	癸卯 乙丑 甲寅 己巳	小寒	大寒 (1, 21)	兔	摩羯座	沐浴、扫舍宇	祭祀、开渠、穿井、布政事、上册、颁诏、乘船渡水、筑堤防、营建、补垣、宣政事、塞穴、招贤、取鱼
1964-01-07	一九六三 癸卯[兔]年 冬月大廿三	周二	无	张仙诞	无	癸卯 乙丑 乙卯 辛巳	无	大寒 (1, 21)	兔	摩羯座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、庆赐、覃恩、补垣、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、鼓铸、整手足甲、取鱼、修饰垣墙、乘船渡水、入宅、布政事、筑堤防、整容
1964-01-08	一九六三 癸卯[兔]年 冬月大廿四	周三	无	无	无	癸卯 乙丑 丙辰 癸巳	无	大寒 (1, 21)	兔	摩羯座	诸事不宜	诸事不宜
1964-01-09	一九六三 癸卯[兔]年 冬月大廿五	周四	无	无	无	癸卯 乙丑 丁巳 乙巳	无	大寒 (1, 21)	兔	摩羯座	诸事不宜	出行、安床、剃头、求医疗病、上表章、上官、开市、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、鼓铸、举正直、布政事、求嗣、解除、上册、颁诏、乘船渡水、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、出师、取鱼
1964-01-10	一九六三 癸卯[兔]年 冬月大廿六	周五	无	北方五道诞	中国公安110宣传日	癸卯 乙丑 戊午 丁巳	无	大寒 (1, 21)	兔	摩羯座	嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、捕捉、畋猎、安葬、纳采、整手足甲、临政、解除、赴任、入宅、整容、安抚边境、搬移、诉讼	出行、结婚姻、宴会、安床、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、启攒、纳畜、举正直、修仓库、求嗣、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、营建、选将、施恩、修宫室、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
1964-01-11	一九六三 癸卯[兔]年 冬月大廿七	周六	无	无	无	癸卯 乙丑 己未 己巳	无	大寒 (1, 21)	兔	摩羯座	破屋坏垣	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
