1964-07-01	一九六四 甲辰[龙]年 五月小廿二	周三	无	孝娥神诞	中国共产党诞生日,香港回归纪念日	甲辰 庚午 辛亥 癸巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1964-07-02	一九六四 甲辰[龙]年 五月小廿三	周四	无	无	无	甲辰 庚午 壬子 乙巳	无	小暑 (7, 7)	龙	巨蟹座	诸事不宜	诸事不宜
1964-07-03	一九六四 甲辰[龙]年 五月小廿四	周五	无	无	无	甲辰 庚午 癸丑 丁巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1964-07-04	一九六四 甲辰[龙]年 五月小廿五	周六	无	无	无	甲辰 庚午 甲寅 己巳	无	小暑 (7, 7)	龙	巨蟹座	宴会、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、庆赐、临政、裁制、立券交易、修仓库、入宅、筑堤防、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福	祭祀、选将、远回、出师、开仓
1964-07-05	一九六四 甲辰[龙]年 五月小廿六	周日	无	无	无	甲辰 庚午 乙卯 辛巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室、立券交易、祈福
1964-07-06	一九六四 甲辰[龙]年 五月小廿七	周一	无	无	无	甲辰 庚午 丙辰 癸巳	无	小暑 (7, 7)	龙	巨蟹座	出行、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、赴任、颁诏、恤孤茕、解除、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福、诉讼	伐木、畋猎、取鱼
1964-07-07	一九六四 甲辰[龙]年 五月小廿八	周二	无	无	中国人民抗日战争纪念日	甲辰 辛未 丁巳 乙巳	小暑	大暑 (7, 23)	龙	巨蟹座	入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、祈福
1964-07-08	一九六四 甲辰[龙]年 五月小廿九	周三	无	无	无	甲辰 辛未 戊午 丁巳	无	大暑 (7, 23)	龙	巨蟹座	祭祀、经络、补垣、裁制、赴任、恤孤茕、酝酿、覃恩、雪冤、塞穴、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、安葬、庆赐、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、苫盖、修宫室、疗目、祈福
1964-07-09	一九六四 甲辰[龙]年 六月大初一	周四	无	无	无	甲辰 辛未 己未 己巳	无	大暑 (7, 23)	龙	巨蟹座	出行、宴会、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、赴任、颁诏、入宅、恤孤茕、纳畜、招贤、举正直、覃恩、酝酿、雪冤、施恩、宣政事、立券交易	剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、整容、筑堤防、补垣、取鱼、修饰垣墙、整手足甲
1964-07-10	一九六四 甲辰[龙]年 六月大初二	周五	无	无	无	甲辰 辛未 庚申 辛巳	无	大暑 (7, 23)	龙	巨蟹座	祭祀、沐浴、扫舍宇	结婚姻、宴会、嫁娶、安床、修造、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、启攒、庆赐、补垣、开张、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、纳畜、招贤、布政事、筑堤防、酝酿、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、立券交易
1964-07-11	一九六四 甲辰[龙]年 六月大初三	周六	无	无	世界人口日	甲辰 辛未 辛酉 癸巳	无	大暑 (7, 23)	龙	巨蟹座	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
