1964-08-01	一九六四 甲辰[龙]年 六月大廿四	周六	无	关帝诞	中国人民解放军建军节	甲辰 辛未 壬午 乙巳	无	立秋 (8, 7)	龙	狮子座	经络、安葬、恤孤茕、赴任、酝酿、覃恩、雪冤、塞穴、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、牧养、破土、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼、疗目
1964-08-02	一九六四 甲辰[龙]年 六月大廿五	周日	无	无	无	甲辰 辛未 癸未 丁巳	无	立秋 (8, 7)	龙	狮子座	出行、宴会、嫁娶、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、布政事、酝酿、裁制、庆赐、覃恩、施恩、雪冤、招贤、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙
1964-08-03	一九六四 甲辰[龙]年 六月大廿六	周一	无	无	无	甲辰 辛未 甲申 己巳	无	立秋 (8, 7)	龙	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、入宅、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、鼓铸、布政事、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易、取鱼
1964-08-04	一九六四 甲辰[龙]年 六月大廿七	周二	无	无	无	甲辰 辛未 乙酉 辛巳	无	立秋 (8, 7)	龙	狮子座	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1964-08-05	一九六四 甲辰[龙]年 六月大廿八	周三	无	无	恩格斯逝世纪念日	甲辰 辛未 丙戌 癸巳	无	立秋 (8, 7)	龙	狮子座	诸事不宜	诸事不宜
1964-08-06	一九六四 甲辰[龙]年 六月大廿九	周四	无	无	国际电影节	甲辰 辛未 丁亥 乙巳	无	立秋 (8, 7)	龙	狮子座	宴会、沐浴、冠带、竖柱上梁、经络、纳畜、临政、恤孤茕、酝酿、裁制、庆赐、雪冤	祭祀、出行、嫁娶、剃头、求医疗病、上表章、上官、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、解除、上册、乘船渡水、开仓、整容、筑堤防、安抚边境、营建、补垣、选将、搬移、修饰垣墙、出师、取鱼
1964-08-07	一九六四 甲辰[龙]年 六月大三十	周五	无	无	无	甲辰 壬申 戊子 丁巳	立秋	处暑 (8, 23)	龙	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	修置产室、畋猎、取鱼
1964-08-08	一九六四 甲辰[龙]年 七月小初一	周六	无	无	无	甲辰 壬申 己丑 己巳	无	处暑 (8, 23)	龙	狮子座	纳财、捕捉、栽种、牧养、赴任、纳采、纳畜、入宅	求医疗病、冠带、立券、畋猎、安抚边境、整手足甲、开张、远回、选将、出师
1964-08-09	一九六四 甲辰[龙]年 七月小初二	周日	无	无	无	甲辰 壬申 庚寅 辛巳	无	处暑 (8, 23)	龙	狮子座	诸事不宜	诸事不宜
1964-08-10	一九六四 甲辰[龙]年 七月小初三	周一	无	无	无	甲辰 壬申 辛卯 癸巳	无	处暑 (8, 23)	龙	狮子座	祭祀、宴会	出行、结婚姻、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、纳畜、纳采、举正直、临政、修仓库、求嗣、解除、上册、酝酿、开仓、筑堤防、安抚边境、营建、补垣、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、出师
1964-08-11	一九六四 甲辰[龙]年 七月小初四	周二	无	无	无	甲辰 壬申 壬辰 乙巳	无	处暑 (8, 23)	龙	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、裁制、庆赐、开仓、筑堤防、覃恩、安抚边境、营建、选将、修宫室、雪冤、搬移、祈福、缮城郭、立券交易、出师	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、针刺、鼓铸、整手足甲、布政事、整容、补垣、修饰垣墙、塞穴、远回、取鱼
