1966-03-01 10:00:00	一九六六 丙午[马]年 二月大初十	星期二	国、际、海、豹、日	丙午 庚寅 己未 己巳	无	惊蛰 (3, 6)	马	双鱼座	捕捉、取鱼	结婚姻、嫁娶、修造、求医疗病、纳畜、选将、纳采、安抚边境、出师
1966-03-02 10:00:00	一九六六 丙午[马]年 二月大十一	星期三	无	丙午 庚寅 庚申 辛巳	无	惊蛰 (3, 6)	马	双鱼座	祭祀、沐浴、扫舍宇、破屋坏垣	结婚姻、宴会、嫁娶、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、启攒、营建、开仓、纳畜、招贤、施恩、选将、开张、颁诏、修饰垣墙、出师、布政事、修仓库、缮城郭、补垣、鼓铸、上册、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、安抚边境、庆赐、临政、修宫室
1966-03-03 10:00:00	一九六六 丙午[马]年 二月大十二	星期四	全、国、爱、耳、日	丙午 庚寅 辛酉 癸巳	无	惊蛰 (3, 6)	马	双鱼座	祭祀、出行、结婚姻、嫁娶、安床、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、赴任、营建、纳畜、招贤、选将、施恩、解除、颁诏、整容、修仓库、出师、祈福、缮城郭、入宅、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、安抚边境、雪冤、临政	宴会、冠带、修置产室、开渠、穿井、安碓硙、畋猎、启攒、修饰垣墙、开仓、补垣、筑堤防、塞穴、取鱼、鼓铸、布政事、修宫室
1966-03-04 10:00:00	一九六六 丙午[马]年 二月大十三	星期五	无	丙午 庚寅 壬戌 乙巳	无	惊蛰 (3, 6)	马	双鱼座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、营建、纳畜、选将、解除、出师、修仓库、祈福、缮城郭、上册、纳采、求嗣、筑堤防、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政、修宫室	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、开仓、整容、修饰垣墙、布政事、补垣、取鱼、鼓铸、整手足甲、远回、塞穴
1966-03-05 10:00:00	一九六六 丙午[马]年 二月大十四	星期六	周、恩、来、诞、辰、纪、念、日、,、中、国、青、年、志、愿、者、服、务、日	丙午 庚寅 癸亥 丁巳	无	惊蛰 (3, 6)	马	双鱼座	祭祀、结婚姻、宴会、沐浴、进人口、经络、开市、纳财、捕捉、栽种、牧养、安葬、开仓、纳畜、祈福、取鱼、立券交易、酝酿	出行、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、营建、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、修仓库、布政事、缮城郭、补垣、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、塞穴、裁制、搬移、安抚边境、庆赐、临政
1966-03-06 10:00:00	一九六六 丙午[马]年 二月大十五	星期日	世、界、青、光、眼、日、释、迦、牟、尼、佛、般、涅、槃	丙午 辛卯 甲子 己巳	惊蛰	春分 (3, 21)	马	双鱼座	祭祀、沐浴、捕捉、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1966-03-07 10:00:00	一九六六 丙午[马]年 二月大十六	星期一	无	丙午 辛卯 乙丑 辛巳	无	春分 (3, 21)	马	双鱼座	出行、宴会、修造、上表章、上官、入学、修置产室、开渠、穿井、安碓硙、牧养、纳畜、招贤、施恩、选将、解除、颁诏、出师、祈福、缮城郭、上册、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政	冠带、伐木、畋猎、破土、安葬、启攒、开仓、补垣、取鱼、鼓铸、乘船渡水、立券交易、塞穴
1966-03-08 10:00:00	一九六六 丙午[马]年 二月大十七	星期二	国、际、劳、动、妇、女、节、东、方、杜、将、军、诞	丙午 辛卯 丙寅 癸巳	无	春分 (3, 21)	马	双鱼座	经络、纳财、栽种、牧养、纳畜、选将、缮城郭、补垣、入宅、筑堤防、覃恩、恤孤茕、立券交易、塞穴、酝酿、裁制、安抚边境、雪冤	祭祀、上表章、修置产室、开渠、穿井、疗目、营建、远回、针刺、上册
1966-03-09 10:00:00	一九六六 丙午[马]年 二月大十八	星期三	至、圣、先、师、孔、子、讳、辰	丙午 辛卯 丁卯 乙巳	无	春分 (3, 21)	马	双鱼座	出行、宴会、上官、进人口、经络、纳财、牧养、纳畜、招贤、施恩、选将、出师、布政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政	剃头、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、安葬、营建、苫盖、整容、修饰垣墙、补垣、取鱼、上册、整手足甲、乘船渡水、筑堤防
1966-03-10 10:00:00	一九六六 丙午[马]年 二月大十九	星期四	观、音、大、士、诞	丙午 辛卯 戊辰 丁巳	无	春分 (3, 21)	马	双鱼座	出行、沐浴、剃头、扫舍宇、施恩、解除、整容、布政事、举正直、覃恩、恤孤茕、雪冤、临政	宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、畋猎、牧养、破土、安葬、启攒、开仓、纳畜、选将、修仓库、出师、祈福、整手足甲、上册、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1966-03-11 10:00:00	一九六六 丙午[马]年 二月大二十	星期五	无	丙午 辛卯 己巳 己巳	无	春分 (3, 21)	马	双鱼座	宴会、竖柱上梁、经络、开市、纳财、牧养、解除、祈福、求嗣、覃恩、恤孤茕、立券交易、塞穴、裁制、庆赐、雪冤	祭祀、出行、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、破土、启攒、取鱼、筑堤防、修饰垣墙
