1969-01-01	一九六八 戊申[猴]年 冬月小十三	周三	元旦节	无	无	戊申 甲子 丙子 癸巳	无	小寒 (1, 5)	猴	摩羯座	诸事不宜	诸事不宜
1969-01-02	一九六八 戊申[猴]年 冬月小十四	周四	无	无	无	戊申 甲子 丁丑 乙巳	无	小寒 (1, 5)	猴	摩羯座	祭祀、结婚姻、宴会、嫁娶、沐浴、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、颁诏、解除、恤孤茕、招贤、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	剃头、冠带、畋猎、取鱼、乘船渡水
1969-01-03	一九六八 戊申[猴]年 冬月小十五	周五	无	无	无	戊申 甲子 戊寅 丁巳	无	小寒 (1, 5)	猴	摩羯座	宴会、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、庆赐、补垣、裁制、立券交易、入宅、解除、求嗣、缮城郭、塞穴、上册、修宫室、祈福	祭祀、剃头、招贤、整容、远回、整手足甲
1969-01-04	一九六八 戊申[猴]年 冬月小十六	周六	无	无	无	戊申 甲子 己卯 己巳	无	小寒 (1, 5)	猴	摩羯座	诸事不宜	诸事不宜
1969-01-05	一九六八 戊申[猴]年 冬月小十七	周日	无	阿弥陀佛诞	无	戊申 乙丑 庚辰 辛巳	小寒	大寒 (1, 20)	猴	摩羯座	祭祀、平治道涂、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
1969-01-06	一九六八 戊申[猴]年 冬月小十八	周一	无	无	无	戊申 乙丑 辛巳 癸巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、宴会、修造、上官、冠带、竖柱上梁、经络、安碓硙、牧养、庆赐、临政、搬移、裁制、纳采、恤孤茕、纳畜、布政事、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	出行、上表章、修置产室、破土、安葬、启攒、选将、补垣、取鱼、安抚边境、鼓铸、上册、塞穴、乘船渡水、出师
1969-01-07	一九六八 戊申[猴]年 冬月小十九	周二	无	太阳日宫诞	无	戊申 乙丑 壬午 乙巳	无	大寒 (1, 20)	猴	摩羯座	沐浴、剃头、捕捉、畋猎、赴任、恤孤茕、布政事、整容、覃恩、雪冤、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、立券交易、修仓库、解除、纳畜、出师、乘船渡水、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、取鱼、上册、苫盖、整手足甲、修宫室、祈福
1969-01-08	一九六八 戊申[猴]年 冬月小二十	周三	无	无	无	戊申 乙丑 癸未 丁巳	无	大寒 (1, 20)	猴	摩羯座	破屋坏垣、赴任、恤孤茕、入宅、覃恩、雪冤	诸事不忌
1969-01-09	一九六八 戊申[猴]年 冬月小廿一	周四	无	无	无	戊申 乙丑 甲申 己巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、出行、沐浴、剃头、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、安葬、临政、搬移、裁制、纳畜、整容、举正直、酝酿、缮城郭、施恩、修宫室	嫁娶、立券、开张、出师
1969-01-10	一九六八 戊申[猴]年 冬月小廿二	周五	无	无	中国公安110宣传日	戊申 乙丑 乙酉 辛巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、出行、沐浴、剃头、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、临政、裁制、开仓、颁诏、恤孤茕、解除、招贤、整容、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、上册、整手足甲、祈福	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、修饰垣墙、补垣、取鱼、苫盖
1969-01-11	一九六八 戊申[猴]年 冬月小廿三	周六	无	张仙诞	无	戊申 乙丑 丙戌 癸巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
1969-01-12	一九六八 戊申[猴]年 冬月小廿四	周日	无	无	无	戊申 乙丑 丁亥 乙巳	无	大寒 (1, 20)	猴	摩羯座	沐浴、入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、祈福
1969-01-13	一九六八 戊申[猴]年 冬月小廿五	周一	无	无	无	戊申 乙丑 戊子 丁巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、沐浴、经络、安葬、入宅、酝酿、塞穴	出行、安床、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、庆赐、开仓、修仓库、颁诏、解除、出师、招贤、布政事、选将、举正直、针刺、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、远回、修宫室、疗目
1969-01-14	一九六八 戊申[猴]年 冬月小廿六	周二	无	北方五道诞	无	戊申 乙丑 己丑 己巳	无	大寒 (1, 20)	猴	摩羯座	宴会、经络、纳财、庆赐、裁制、纳畜、举正直、酝酿、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、补垣、搬移、开仓、颁诏、解除、整容、筑堤防、求嗣、营建、宣政事、取鱼、修饰垣墙、上册、整手足甲、祈福
1969-01-15	一九六八 戊申[猴]年 冬月小廿七	周三	无	无	无	戊申 乙丑 庚寅 辛巳	无	大寒 (1, 20)	猴	摩羯座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、修宫室、立券交易、祈福	祭祀、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、筑堤防、布政事、补垣、取鱼、修饰垣墙、鼓铸、塞穴
1969-01-16	一九六八 戊申[猴]年 冬月小廿八	周四	无	无	无	戊申 乙丑 辛卯 癸巳	无	大寒 (1, 20)	猴	摩羯座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1969-01-17	一九六八 戊申[猴]年 冬月小廿九	周五	无	无	无	戊申 乙丑 壬辰 乙巳	无	大寒 (1, 20)	猴	摩羯座	诸事不宜	诸事不宜
