1974-07-01	一九七四 甲寅[虎]年 五月小十二	周一	无	炳灵公诞	中国共产党诞生日,香港回归纪念日	甲寅 庚午 癸卯 丁巳	无	小暑 (7, 7)	虎	巨蟹座	祭祀	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室、祈福
1974-07-02	一九七四 甲寅[虎]年 五月小十三	周二	无	关圣降	无	甲寅 庚午 甲辰 己巳	无	小暑 (7, 7)	虎	巨蟹座	出行、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、赴任、颁诏、恤孤茕、解除、入宅、招贤、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、宣政事、上册、修宫室、祈福、诉讼	伐木、畋猎、乘船渡水、取鱼
1974-07-03	一九七四 甲寅[虎]年 五月小十四	周三	无	无	无	甲寅 庚午 乙巳 辛巳	无	小暑 (7, 7)	虎	巨蟹座	补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、颁诏、乘船渡水、解除、出师、招贤、布政事、举正直、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、祈福
1974-07-04	一九七四 甲寅[虎]年 五月小十五	周四	无	无	无	甲寅 庚午 丙午 癸巳	无	小暑 (7, 7)	虎	巨蟹座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、苫盖、塞穴、整手足甲、修宫室、远回、立券交易、祈福
1974-07-05	一九七四 甲寅[虎]年 五月小十六	周五	无	天地元气造化万物之辰	无	甲寅 庚午 丁未 乙巳	无	小暑 (7, 7)	虎	巨蟹座	出行、宴会、沐浴、上官、进人口、经络、纳财、扫舍宇、临政、裁制、解除、纳畜、举正直、酝酿、施恩、整手足甲、立券交易	剃头、启攒、纳采
1974-07-06	一九七四 甲寅[虎]年 五月小十七	周六	无	无	无	甲寅 庚午 戊申 丁巳	无	小暑 (7, 7)	虎	巨蟹座	沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、破土、安葬、补垣、裁制、解除、出师、整容、选将、求嗣、缮城郭、安抚边境、塞穴、上册、修宫室、整手足甲、祈福	祭祀、招贤
1974-07-07	一九七四 甲寅[虎]年 五月小十八	周日	无	张天师诞	中国人民抗日战争纪念日	甲寅 辛未 己酉 己巳	小暑	大暑 (7, 23)	虎	巨蟹座	出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、赴任、颁诏、入宅、恤孤茕、出师、解除、纳畜、招贤、选将、整容、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、塞穴、上册、修宫室、整手足甲、祈福	祭祀、宴会、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、筑堤防、修饰垣墙、取鱼、鼓铸、针刺
1974-07-08	一九七四 甲寅[虎]年 五月小十九	周一	无	无	无	甲寅 辛未 庚戌 辛巳	无	大暑 (7, 23)	虎	巨蟹座	诸事不宜	诸事不宜
1974-07-09	一九七四 甲寅[虎]年 五月小二十	周二	无	无	无	甲寅 辛未 辛亥 癸巳	无	大暑 (7, 23)	虎	巨蟹座	祭祀、出行、结婚姻、宴会、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、庆赐、临政、搬移、裁制、纳采、恤孤茕、纳畜、布政事、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、上表章、修置产室、破土、安葬、启攒、选将、安抚边境、取鱼、上册、乘船渡水、出师
1974-07-10	一九七四 甲寅[虎]年 五月小廿一	周三	无	无	无	甲寅 辛未 壬子 乙巳	无	大暑 (7, 23)	虎	巨蟹座	沐浴、剃头、捕捉、恤孤茕、整容、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、宣政事、修饰垣墙、取鱼、上册、塞穴、远回、整手足甲、修宫室、祈福
1974-07-11	一九七四 甲寅[虎]年 五月小廿二	周四	无	孝娥神诞	世界人口日	甲寅 辛未 癸丑 丁巳	无	大暑 (7, 23)	虎	巨蟹座	诸事不宜	诸事不宜
