1975-07-01	一九七五 乙卯[兔]年 五月小廿二	周二	无	孝娥神诞	中国共产党诞生日,香港回归纪念日	乙卯 壬午 戊申 丁巳	无	小暑 (7, 8)	兔	巨蟹座	出行、沐浴、剃头、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、破土、安葬、整手足甲、求嗣、解除、上册、裁制、整容、补垣、安抚边境、选将、修宫室、搬移、塞穴、祈福、缮城郭、出师	祭祀、招贤
1975-07-02	一九七五 乙卯[兔]年 五月小廿三	周三	无	无	无	乙卯 壬午 己酉 己巳	无	小暑 (7, 8)	兔	巨蟹座	沐浴、剃头、扫舍宇、平治道涂、恤孤茕、整容、覃恩、修饰垣墙、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师
1975-07-03	一九七五 乙卯[兔]年 五月小廿四	周四	无	无	无	乙卯 壬午 庚戌 辛巳	无	小暑 (7, 8)	兔	巨蟹座	祭祀、结婚姻、宴会、嫁娶、上官、冠带、进人口、竖柱上梁、安碓硙、纳畜、纳采、临政、恤孤茕、布政事、酝酿、裁制、庆赐、入宅、覃恩、修宫室、搬移、雪冤、祈福、缮城郭	求医疗病、开市、修置产室、栽种、开仓、解除
1975-07-04	一九七五 乙卯[兔]年 五月小廿五	周五	无	无	无	乙卯 壬午 辛亥 癸巳	无	小暑 (7, 8)	兔	巨蟹座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、鼓铸、整手足甲、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
1975-07-05	一九七五 乙卯[兔]年 五月小廿六	周六	无	无	无	乙卯 壬午 壬子 乙巳	无	小暑 (7, 8)	兔	巨蟹座	诸事不宜	诸事不宜
1975-07-06	一九七五 乙卯[兔]年 五月小廿七	周日	无	无	无	乙卯 壬午 癸丑 丁巳	无	小暑 (7, 8)	兔	巨蟹座	祭祀、覃恩、雪冤、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1975-07-07	一九七五 乙卯[兔]年 五月小廿八	周一	无	无	中国人民抗日战争纪念日	乙卯 壬午 甲寅 己巳	无	小暑 (7, 8)	兔	巨蟹座	宴会、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、举正直、临政、修仓库、求嗣、酝酿、裁制、庆赐、筑堤防、修宫室、施恩、祈福、缮城郭、立券交易	祭祀、选将、远回、出师、开仓
1975-07-08	一九七五 乙卯[兔]年 五月小廿九	周二	无	无	无	乙卯 癸未 乙卯 辛巳	小暑	大暑 (7, 23)	兔	巨蟹座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、安碓硙、牧养、纳采、举正直、临政、赴任、上册、酝酿、裁制、庆赐、入宅、筑堤防、修宫室、施恩、缮城郭	穿井、选将、出师、开仓、苫盖
1975-07-09	一九七五 乙卯[兔]年 六月小初一	周三	无	无	无	乙卯 癸未 丙辰 癸巳	无	大暑 (7, 23)	兔	巨蟹座	祭祀、进人口、纳财、捕捉、栽种、牧养、纳畜	嫁娶、上表章、冠带、修置产室、开渠、穿井、破土、启攒、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、筑堤防、安抚边境、营建、宣政事、选将、招贤、出师
1975-07-10	一九七五 乙卯[兔]年 六月小初二	周四	无	无	无	乙卯 癸未 丁巳 乙巳	无	大暑 (7, 23)	兔	巨蟹座	入学、覃恩、雪冤、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、开张、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
1975-07-11	一九七五 乙卯[兔]年 六月小初三	周五	无	无	世界人口日	乙卯 癸未 戊午 丁巳	无	大暑 (7, 23)	兔	巨蟹座	祭祀、经络、恤孤茕、赴任、酝酿、裁制、覃恩、补垣、雪冤、塞穴、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、安葬、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼、疗目
