1980-03-01	一九八零 庚申[猴]年 正月大十五	周六	无	元宵节	国际海豹日	庚申 戊寅 癸酉 丁巳	无	惊蛰 (3, 5)	猴	双鱼座	祭祀、沐浴、扫舍宇、恤孤茕、雪冤、取鱼	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、修仓库、求嗣、解除、上册、开仓、庆赐、整容、筑堤防、安抚边境、营建、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师
1980-03-02	一九八零 庚申[猴]年 正月大十六	周日	无	无	无	庚申 戊寅 甲戌 己巳	无	惊蛰 (3, 5)	猴	双鱼座	入学、诉讼、赴任	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、出师
1980-03-03	一九八零 庚申[猴]年 正月大十七	周一	无	无	全国爱耳日	庚申 戊寅 乙亥 辛巳	无	惊蛰 (3, 5)	猴	双鱼座	祭祀、出行、结婚姻、宴会、沐浴、修造、进人口、经络、开市、纳财、捕捉、栽种、牧养、纳畜、纳采、赴任、酝酿、开仓、入宅、搬移、祈福、立券交易、取鱼	嫁娶、剃头、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、安葬、启攒、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、修饰垣墙、塞穴、招贤、缮城郭、出师
1980-03-04	一九八零 庚申[猴]年 正月大十八	周二	无	无	无	庚申 戊寅 丙子 癸巳	无	惊蛰 (3, 5)	猴	双鱼座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、出师	剃头、冠带、破屋坏垣、伐木、畋猎、补垣、鼓铸、整手足甲、取鱼、修饰垣墙、塞穴、入宅、布政事、整容、筑堤防、苫盖
1980-03-05	一九八零 庚申[猴]年 正月大十九	周三	无	无	周恩来诞辰纪念日,中国青年志愿者服务日	庚申 己卯 丁丑 乙巳	惊蛰	春分 (3, 20)	猴	双鱼座	出行、结婚姻、宴会、嫁娶、求医疗病、上表章、上官、入学、竖柱上梁、修置产室、开渠、穿井、安碓硙、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	剃头、冠带、伐木、畋猎、补垣、鼓铸、整手足甲、取鱼、乘船渡水、塞穴、整容
1980-03-06	一九八零 庚申[猴]年 正月大二十	周四	无	无	世界青光眼日	庚申 己卯 戊寅 丁巳	无	春分 (3, 20)	猴	双鱼座	经络、纳财、栽种、牧养、破土、安葬、纳畜、恤孤茕、修仓库、酝酿、裁制、筑堤防、覃恩、补垣、雪冤、塞穴、缮城郭、立券交易	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、畋猎、纳采、针刺、举正直、临政、布政事、求嗣、解除、上册、颁诏、庆赐、开仓、营建、安抚边境、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、远回、出师、取鱼、疗目
1980-03-07	一九八零 庚申[猴]年 正月大廿一	周五	无	无	无	庚申 己卯 己卯 己巳	无	春分 (3, 20)	猴	双鱼座	出行、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、立券交易	剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、启攒、补垣、整手足甲、取鱼、修饰垣墙、乘船渡水、开仓、筑堤防、整容、苫盖
1980-03-08	一九八零 庚申[猴]年 正月大廿二	周六	无	无	国际劳动妇女节	庚申 己卯 庚辰 辛巳	无	春分 (3, 20)	猴	双鱼座	出行、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、扫舍宇、纳采、举正直、整手足甲、临政、恤孤茕、布政事、解除、庆赐、入宅、整容、覃恩、安抚边境、选将、施恩、雪冤、搬移、出师	结婚姻、进人口、经络、开市、纳财、修置产室、畋猎、牧养、破土、安葬、启攒、纳畜、修仓库、求嗣、上册、酝酿、开仓、祈福、立券交易
1980-03-09	一九八零 庚申[猴]年 正月大廿三	周日	无	无	无	庚申 己卯 辛巳 癸巳	无	春分 (3, 20)	猴	双鱼座	宴会、竖柱上梁、经络、开市、纳财、恤孤茕、布政事、裁制、庆赐、覃恩、雪冤、塞穴、祈福、立券交易	祭祀、出行、结婚姻、嫁娶、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、破土、启攒、纳畜、纳采、举正直、整手足甲、酝酿、颁诏、乘船渡水、筑堤防、安抚边境、营建、宣政事、选将、施恩、修饰垣墙、招贤、出师、取鱼
1980-03-10	一九八零 庚申[猴]年 正月大廿四	周一	无	无	无	庚申 己卯 壬午 乙巳	无	春分 (3, 20)	猴	双鱼座	祭祀、平治道涂、恤孤茕、覃恩、修饰垣墙、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、苫盖、立券交易、出师
1980-03-11	一九八零 庚申[猴]年 正月大廿五	周二	无	无	无	庚申 己卯 癸未 丁巳	无	春分 (3, 20)	猴	双鱼座	祭祀、结婚姻、宴会、嫁娶、冠带、进人口、竖柱上梁、经络、纳畜、纳采、恤孤茕、布政事、求嗣、酝酿、裁制、庆赐、覃恩、雪冤、祈福	求医疗病、上表章、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、针刺、解除、上册、开仓、筑堤防、安抚边境、营建、补垣、选将、修饰垣墙、出师
