1981-01-01	一九八零 庚申[猴]年	冬月大	廿六	周四	元旦节	北方五道诞	无	庚申 戊子 己卯 己巳	无	小寒 (1, 5)	猴	摩羯座	诸事不宜	诸事不宜
1981-01-02	一九八零 庚申[猴]年	冬月大	廿七	周五	无	无	无	庚申 戊子 庚辰 辛巳	无	小寒 (1, 5)	猴	摩羯座	祭祀、宴会、修造、上官、冠带、进人口、竖柱上梁、安碓硙、安葬、赴任、布政事、纳畜、纳采、雪冤、缮城郭、裁制、临政、诉讼、酝酿、入宅、祈福、覃恩、庆赐、修宫室、恤孤茕、搬移	求医疗病、开市、修置产室、栽种、开仓、解除
1981-01-03	一九八零 庚申[猴]年	冬月大	廿八	周六	无	无	无	庚申 戊子 辛巳 癸巳	无	小寒 (1, 5)	猴	摩羯座	祭祀、捕捉、雪冤、覃恩、恤孤茕	出行、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、取鱼、补垣、整手足甲、鼓铸、筑堤防、塞穴、修饰垣墙、整容、修宫室
1981-01-04	一九八零 庚申[猴]年	冬月大	廿九	周日	无	无	无	庚申 戊子 壬午 乙巳	无	小寒 (1, 5)	猴	摩羯座	祭祀、沐浴、雪冤、覃恩、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、布政事、出师、纳畜、取鱼、颁诏、纳采、补垣、举正直、解除、苫盖、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、乘船渡水、针刺、酝酿、立券交易、招贤、开仓、入宅、祈福、筑堤防、施恩、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、搬移
1981-01-05	一九八零 庚申[猴]年	冬月大	三十	周一	无	无	无	庚申 己丑 癸未 丁巳	小寒	大寒 (1, 20)	猴	摩羯座	破屋坏垣、雪冤、覃恩、恤孤茕	剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、启攒、整容、出师、整手足甲、鼓铸、修宫室、开仓、筑堤防、塞穴、补垣、修饰垣墙
1981-01-06	一九八零 庚申[猴]年	腊月大	初一	周二	无	无	无	庚申 己丑 甲申 己巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、出行、沐浴、剃头、修造、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、安葬、纳畜、举正直、缮城郭、裁制、临政、酝酿、施恩、整容、修宫室、搬移	出师
1981-01-07	一九八零 庚申[猴]年	腊月大	初二	周三	无	无	无	庚申 己丑 乙酉 辛巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、赴任、颁诏、举正直、雪冤、整手足甲、裁制、宣政事、临政、酝酿、招贤、开仓、祈福、入宅、施恩、解除、求嗣、覃恩、上册、整容、恤孤茕	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、苫盖、取鱼、补垣、修饰垣墙
1981-01-08	一九八零 庚申[猴]年	腊月大	初三	周四	无	无	周恩来逝世纪念日	庚申 己丑 丙戌 癸巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、布政事、出师、纳畜、颁诏、纳采、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、搬移
1981-01-09	一九八零 庚申[猴]年	腊月大	初四	周五	无	无	无	庚申 己丑 丁亥 乙巳	无	大寒 (1, 20)	猴	摩羯座	沐浴、入学、雪冤、恤孤茕、覃恩	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、布政事、出师、纳畜、取鱼、颁诏、纳采、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、远回、搬移
1981-01-10	一九八零 庚申[猴]年	腊月大	初五	周六	无	无	中国公安110宣传日	庚申 己丑 戊子 丁巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、沐浴、经络、安葬、酝酿、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、布政事、纳畜、颁诏、纳采、补垣、举正直、安抚边境、修仓库、缮城郭、宣政事、临政、乘船渡水、针刺、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、修饰垣墙、上册、庆赐、修宫室、选将、营建、远回、出师、疗目、搬移
1981-01-11	一九八零 庚申[猴]年	腊月大	初六	周日	无	无	无	庚申 己丑 己丑 己巳	无	大寒 (1, 20)	猴	摩羯座	宴会、经络、纳财、纳畜、举正直、裁制、酝酿、立券交易、施恩、庆赐	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、取鱼、颁诏、补垣、整手足甲、宣政事、开仓、祈福、解除、筑堤防、求嗣、修饰垣墙、上册、整容、营建、搬移
1981-01-12	一九八零 庚申[猴]年	腊月大	初七	周一	无	无	无	庚申 己丑 庚寅 辛巳	无	大寒 (1, 20)	猴	摩羯座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、出师、纳畜、颁诏、纳采、举正直、安抚边境、修仓库、雪冤、整手足甲、缮城郭、裁制、宣政事、临政、立券交易、招贤、开仓、祈福、解除、入宅、施恩、求嗣、覃恩、上册、庆赐、整容、恤孤茕、修宫室、选将、营建、搬移	祭祀、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、布政事、鼓铸、取鱼、筑堤防、补垣、塞穴、修饰垣墙
1981-01-13	一九八零 庚申[猴]年	腊月大	初八	周二	无	腊八节-释迦如来成佛之辰	无	庚申 己丑 辛卯 癸巳	无	大寒 (1, 20)	猴	摩羯座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、布政事、出师、纳畜、颁诏、纳采、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、入宅、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、搬移
1981-01-14	一九八零 庚申[猴]年	腊月大	初九	周三	无	无	无	庚申 己丑 壬辰 乙巳	无	大寒 (1, 20)	猴	摩羯座	诸事不宜	诸事不宜
1981-01-15	一九八零 庚申[猴]年	腊月大	初十	周四	无	无	无	庚申 己丑 癸巳 丁巳	无	大寒 (1, 20)	猴	摩羯座	结婚姻、宴会、修造、冠带、竖柱上梁、经络、安碓硙、纳畜、纳采、缮城郭、裁制、临政、酝酿、庆赐、修宫室	出行、求医疗病、上表章、开市、修置产室、栽种、破土、安葬、启攒、取鱼、补垣、安抚边境、鼓铸、乘船渡水、开仓、解除、塞穴、上册、选将、出师
1981-01-16	一九八零 庚申[猴]年	腊月大	十一	周五	无	无	无	庚申 己丑 甲午 己巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、沐浴、剃头、捕捉、畋猎、赴任、整手足甲、裁制、诉讼、整容	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、出师、纳畜、取鱼、纳采、举正直、苫盖、安抚边境、修仓库、缮城郭、临政、乘船渡水、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、上册、庆赐、修宫室、选将、营建、搬移
1981-01-17	一九八零 庚申[猴]年	腊月大	十二	周六	无	无	无	庚申 己丑 乙未 辛巳	无	大寒 (1, 20)	猴	摩羯座	赴任、雪冤、入宅、解除、覃恩、恤孤茕	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、畋猎、启攒、布政事、取鱼、补垣、整手足甲、鼓铸、筑堤防、塞穴、修饰垣墙、整容
1981-01-18	一九八零 庚申[猴]年	腊月大	十三	周日	无	无	无	庚申 己丑 丙申 癸巳	无	大寒 (1, 20)	猴	摩羯座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、安葬、纳畜、安抚边境、整手足甲、酝酿、开仓、整容、选将	结婚姻、宴会、嫁娶、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、纳采、补垣、修仓库、缮城郭、筑堤防、求嗣、修饰垣墙、庆赐、修宫室、营建、出师
1981-01-19	一九八零 庚申[猴]年	腊月大	十四	周一	无	无	无	庚申 己丑 丁酉 乙巳	无	大寒 (1, 20)	猴	摩羯座	沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、举正直、整手足甲、裁制、临政、酝酿、施恩、解除、上册	宴会、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、苫盖、乘船渡水、选将、营建、出师、补垣、修饰垣墙
1981-01-20	一九八零 庚申[猴]年	腊月大	十五	周二	无	无	无	庚申 己丑 戊戌 丁巳	大寒	立春 (2, 4)	猴	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、布政事、纳畜、颁诏、纳采、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、出师、搬移
1981-01-21	一九八零 庚申[猴]年	腊月大	十六	周三	无	南岳大帝诞	列宁逝世纪念日	庚申 己丑 己亥 己巳	无	立春 (2, 4)	猴	水瓶座	沐浴、入学、雪冤、恤孤茕、覃恩	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、布政事、纳畜、取鱼、颁诏、补垣、纳采、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、远回、出师、搬移
1981-01-22	一九八零 庚申[猴]年	腊月大	十七	周四	无	无	无	庚申 己丑 庚子 辛巳	无	立春 (2, 4)	猴	水瓶座	祭祀、沐浴、安葬、雪冤、裁制、酝酿、入宅、塞穴、覃恩、恤孤茕	安床、冠带、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、布政事、取鱼、针刺、开仓、修饰垣墙、修宫室、远回、疗目
1981-01-23	一九八零 庚申[猴]年	腊月大	十八	周五	无	无	无	庚申 己丑 辛丑 癸巳	无	立春 (2, 4)	猴	水瓶座	祭祀、宴会、经络、纳财、牧养、纳畜、举正直、裁制、立券交易、施恩、庆赐	剃头、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、破土、安葬、启攒、取鱼、颁诏、补垣、整手足甲、宣政事、筑堤防、修饰垣墙、上册、整容、营建
1981-01-24	一九八零 庚申[猴]年	腊月大	十九	周六	无	无	无	庚申 己丑 壬寅 乙巳	无	立春 (2, 4)	猴	水瓶座	沐浴、扫舍宇	祭祀、上表章、立券、开渠、穿井、启攒、布政事、颁诏、补垣、开张、宣政事、招贤、筑堤防、塞穴、上册、营建
1981-01-25	一九八零 庚申[猴]年	腊月大	二十	周日	无	无	无	庚申 己丑 癸卯 丁巳	无	立春 (2, 4)	猴	水瓶座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、布政事、出师、纳畜、颁诏、纳采、补垣、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、入宅、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、搬移
1981-01-26	一九八零 庚申[猴]年	腊月大	廿一	周一	无	天猷上帝诞	国际海关日	庚申 己丑 甲辰 己巳	无	立春 (2, 4)	猴	水瓶座	诸事不宜	诸事不宜
1981-01-27	一九八零 庚申[猴]年	腊月大	廿二	周二	无	无	无	庚申 己丑 乙巳 辛巳	无	立春 (2, 4)	猴	水瓶座	祭祀、宴会、上官、冠带、竖柱上梁、经络、牧养、赴任、纳畜、颁诏、纳采、举正直、雪冤、裁制、宣政事、临政、酝酿、招贤、祈福、入宅、施恩、求嗣、覃恩、庆赐、恤孤茕、搬移	出行、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、破土、启攒、乘船渡水、鼓铸、取鱼、筑堤防、塞穴、补垣、修饰垣墙
1981-01-28	一九八零 庚申[猴]年	腊月大	廿三	周三	无	小年	无	庚申 己丑 丙午 癸巳	无	立春 (2, 4)	猴	水瓶座	沐浴、剃头、捕捉、畋猎、赴任、整容、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、布政事、出师、纳畜、取鱼、颁诏、纳采、补垣、举正直、苫盖、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、乘船渡水、酝酿、立券交易、招贤、开仓、祈福、解除、施恩、筑堤防、求嗣、塞穴、修饰垣墙、上册、庆赐、修宫室、选将、营建、搬移
1981-01-29	一九八零 庚申[猴]年	腊月大	廿四	周四	无	子时灶君上天朝玉帝	无	庚申 己丑 丁未 乙巳	无	立春 (2, 4)	猴	水瓶座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、安葬、启攒、布政事、出师、纳畜、颁诏、补垣、纳采、举正直、安抚边境、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、酝酿、立券交易、招贤、开仓、祈福、筑堤防、施恩、求嗣、塞穴、修饰垣墙、上册、庆赐、整容、修宫室、选将、营建、搬移
1981-01-30	一九八零 庚申[猴]年	腊月大	廿五	周五	无	无	无	庚申 己丑 戊申 丁巳	无	立春 (2, 4)	猴	水瓶座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、纳畜、安抚边境、整手足甲、酝酿、开仓、整容、选将	结婚姻、宴会、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、纳采、补垣、修仓库、缮城郭、筑堤防、求嗣、修饰垣墙、庆赐、修宫室、营建
1981-01-31	一九八零 庚申[猴]年	腊月大	廿六	周六	无	无	无	庚申 己丑 己酉 己巳	无	立春 (2, 4)	猴	水瓶座	出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、布政事、举正直、雪冤、整手足甲、裁制、临政、酝酿、施恩、解除、覃恩、上册、整容、恤孤茕	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、苫盖、选将、营建、补垣、出师、修饰垣墙
