1983-04-01	一九八三 癸亥[猪]年 二月小十八	周五	无	至圣先师孔子讳辰	国际愚人节	癸亥 乙卯 己未 己巳	无	清明 (4, 5)	猪	白羊座	祭祀、出行、宴会、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、庆赐、临政、搬移、裁制、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、修宫室、祈福	修置产室、畋猎、取鱼、针刺、开仓
1983-04-02	一九八三 癸亥[猪]年 二月小十九	周六	无	观音大士诞	国际儿童图书日	癸亥 乙卯 庚申 辛巳	无	清明 (4, 5)	猪	白羊座	祭祀、沐浴、扫舍宇、捕捉、恤孤茕、覃恩、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、补垣、开仓、鼓铸、布政事、筑堤防、酝酿、修饰垣墙、塞穴、修宫室、立券交易
1983-04-03	一九八三 癸亥[猪]年 二月小二十	周日	无	无	无	癸亥 乙卯 辛酉 癸巳	无	清明 (4, 5)	猪	白羊座	诸事不宜	诸事不宜
1983-04-04	一九八三 癸亥[猪]年 二月小廿一	周一	无	普贤菩萨诞	无	癸亥 乙卯 壬戌 乙巳	无	清明 (4, 5)	猪	白羊座	取鱼、赴任、诉讼	出行、剃头、修造、求医疗病、上表章、上官、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、庆赐、补垣、临政、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、出师、招贤、布政事、整容、筑堤防、举正直、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、上册、塞穴、整手足甲、修宫室、祈福
1983-04-05	一九八三 癸亥[猪]年 二月小廿二	周二	清明节	无	无	癸亥 丙辰 癸亥 丁巳	清明	谷雨 (4, 20)	猪	白羊座	安床、沐浴、修造、纳财、栽种、牧养、取鱼、赴任、搬移、入宅、纳畜、纳采	结婚姻、嫁娶、求医疗病、畋猎、破土、安葬、启攒、修仓库、解除、开仓、求嗣、祈福
1983-04-06	一九八三 癸亥[猪]年 二月小廿三	周三	无	无	无	癸亥 丙辰 甲子 己巳	无	谷雨 (4, 20)	猪	白羊座	祭祀、宴会、沐浴、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、庆赐、临政、裁制、立券交易、赴任、恤孤茕、纳畜、布政事、举正直、酝酿、覃恩、雪冤、施恩、祈福、诉讼	求医疗病、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、营建、补垣、修饰垣墙、远回、整手足甲、乘船渡水、开仓
1983-04-07	一九八三 癸亥[猪]年 二月小廿四	周四	无	无	世界卫生日	癸亥 丙辰 乙丑 辛巳	无	谷雨 (4, 20)	猪	白羊座	进人口、纳财、捕捉、覃恩、取鱼、纳畜、恤孤茕、雪冤	出行、结婚姻、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、招贤、筑堤防、举正直、酝酿、营建、缮城郭、施恩、宣政事、上册、修宫室
1983-04-08	一九八三 癸亥[猪]年 二月小廿五	周五	无	无	无	癸亥 丙辰 丙寅 癸巳	无	谷雨 (4, 20)	猪	白羊座	出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、招贤、选将、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福	祭祀、嫁娶、伐木、畋猎、取鱼、针刺、乘船渡水
1983-04-09	一九八三 癸亥[猪]年 二月小廿六	周六	无	无	无	癸亥 丙辰 丁卯 乙巳	无	谷雨 (4, 20)	猪	白羊座	祭祀、补垣、裁制、恤孤茕、覃恩、雪冤、塞穴	剃头、冠带、修置产室、开渠、穿井、畋猎、整容、取鱼、针刺、疗目
1983-04-10	一九八三 癸亥[猪]年 二月小廿七	周日	无	无	无	癸亥 丙辰 戊辰 丁巳	无	谷雨 (4, 20)	猪	白羊座	入宅、恤孤茕、覃恩、雪冤	安床、剃头、求医疗病、上表章、冠带、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、补垣、开仓、鼓铸、颁诏、解除、整容、筑堤防、求嗣、营建、宣政事、修饰垣墙、上册、塞穴、整手足甲、祈福
1983-04-11	一九八三 癸亥[猪]年 二月小廿八	周一	无	无	无	癸亥 丙辰 己巳 己巳	无	谷雨 (4, 20)	猪	白羊座	沐浴、扫舍宇、恤孤茕、雪冤	出行、宴会、修造、上表章、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、安葬、启攒、庆赐、补垣、裁制、纳采、修仓库、鼓铸、颁诏、招贤、布政事、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
