1984-05-01	一九八四 甲子[鼠]年	四月大	初一	周二	甲子 戊辰 乙未 辛巳	鼠	金牛座	无	立夏 (5, 5)	国际劳动节	八殿都市王诞	无	诸事不宜	诸事不宜
1984-05-02	一九八四 甲子[鼠]年	四月大	初二	周三	甲子 戊辰 丙申 癸巳	鼠	金牛座	无	立夏 (5, 5)	无	无	无	祭祀、沐浴、扫舍宇、布政事	诸事不忌
1984-05-03	一九八四 甲子[鼠]年	四月大	初三	周四	甲子 戊辰 丁酉 乙巳	鼠	金牛座	无	立夏 (5, 5)	无	无	世界新闻自由日	祭祀、出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、捕捉、栽种、牧养、安葬、立券交易、雪冤、裁制、覃恩、缮城郭、招贤、举正直、选将、纳畜、上册、颁诏、出师、祈福、安抚边境、酝酿、开仓、解除、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、恤孤茕、宣政事、求嗣、修宫室	宴会、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、补垣、修饰垣墙、乘船渡水、筑堤防、取鱼
1984-05-04	一九八四 甲子[鼠]年	四月大	初四	周五	甲子 戊辰 戊戌 丁巳	鼠	金牛座	无	立夏 (5, 5)	无	文殊菩萨诞	中国青年节	沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、立券交易、乘船渡水、缮城郭、招贤、布政事、举正直、塞穴、纳畜、取鱼、上册、颁诏、修饰垣墙、酝酿、庆赐、鼓铸、开仓、补垣、修宫室、施恩、纳采、修仓库、临政、营建、筑堤防、宣政事、求嗣
1984-05-05	一九八四 甲子[鼠]年	四月大	初五	周六	甲子 己巳 己亥 己巳	鼠	金牛座	立夏	小满 (5, 21)	无	无	马克思诞辰纪念日	沐浴、破屋坏垣、赴任、入宅、解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、安葬、启攒、乘船渡水、招贤、布政事、塞穴、取鱼、上册、颁诏、修饰垣墙、整容、鼓铸、补垣、整手足甲、修仓库、筑堤防、营建、宣政事
1984-05-06	一九八四 甲子[鼠]年	四月大	初六	周日	甲子 己巳 庚子 辛巳	鼠	金牛座	无	小满 (5, 21)	无	无	无	祭祀、宴会、沐浴、雪冤、裁制、覃恩、颁诏、庆赐、恤孤茕、宣政事	冠带、进人口、经络、开市、纳财、修置产室、畋猎、立券交易、取鱼、开仓、修宫室、整手足甲、筑堤防
1984-05-07	一九八四 甲子[鼠]年	四月大	初七	周一	甲子 己巳 辛丑 癸巳	鼠	金牛座	无	小满 (5, 21)	无	无	无	祭祀、出行、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、立券交易、雪冤、裁制、覃恩、缮城郭、招贤、举正直、纳畜、上册、颁诏、祈福、庆赐、解除、施恩、纳采、修仓库、临政、筑堤防、恤孤茕、宣政事、营建、求嗣、修宫室	冠带、立券、畋猎、乘船渡水、远回、取鱼、开张
1984-05-08	一九八四 甲子[鼠]年	四月大	初八	周二	甲子 己巳 壬寅 乙巳	鼠	金牛座	无	小满 (5, 21)	无	释迦牟尼佛诞	世界红十字日	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、开仓、鼓铸、整容、补垣、解除、修宫室、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
1984-05-09	一九八四 甲子[鼠]年	四月大	初九	周三	甲子 己巳 癸卯 丁巳	鼠	金牛座	无	小满 (5, 21)	无	无	无	入学、雪冤、覃恩、恤孤茕	竖柱上梁、经络、穿井、伐木、畋猎、安葬、布政事、选将、塞穴、取鱼、入宅、出师、安抚边境、酝酿、开仓、补垣、纳采、筑堤防、营建
1984-05-10	一九八四 甲子[鼠]年	四月大	初十	周四	甲子 己巳 甲辰 己巳	鼠	金牛座	无	小满 (5, 21)	无	无	无	祭祀、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、安葬、立券交易、疗目、针刺、裁制、乘船渡水、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、取鱼、上册、颁诏、修饰垣墙、出师、祈福、安抚边境、酝酿、庆赐、开仓、整容、鼓铸、补垣、解除、修宫室、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣
1984-05-11	一九八四 甲子[鼠]年	四月大	十一	周五	甲子 己巳 乙巳 辛巳	鼠	金牛座	无	小满 (5, 21)	无	无	世界肥胖日	祭祀、宴会、上官、进人口、经络、纳财、牧养、立券交易、雪冤、裁制、覃恩、招贤、举正直、选将、纳畜、颁诏、安抚边境、酝酿、庆赐、施恩、临政、搬移、恤孤茕、宣政事	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、修饰垣墙、整容、整手足甲、取鱼、开仓、筑堤防
1984-05-12	一九八四 甲子[鼠]年	四月大	十二	周六	甲子 己巳 丙午 癸巳	鼠	金牛座	无	小满 (5, 21)	无	无	无	祭祀、宴会、沐浴、扫舍宇、雪冤、裁制、覃恩、颁诏、庆赐、整手足甲、恤孤茕、宣政事	冠带、修置产室、畋猎、启攒、修宫室、乘船渡水、苫盖、取鱼、筑堤防、开仓
1984-05-13	一九八四 甲子[鼠]年	四月大	十三	周日	甲子 己巳 丁未 乙巳	鼠	金牛座	无	小满 (5, 21)	无	无	母亲节	诸事不宜	祭祀、出行、结婚姻、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、乘船渡水、远回、招贤、布政事、举正直、选将、纳畜、取鱼、颁诏、修饰垣墙、出师、安抚边境、酝酿、整容、鼓铸、补垣、解除、纳采、施恩、整手足甲、临政、搬移、营建、筑堤防、宣政事
1984-05-14	一九八四 甲子[鼠]年	四月大	十四	周一	甲子 己巳 戊申 丁巳	鼠	金牛座	无	小满 (5, 21)	无	纯阳祖师诞	无	祭祀、沐浴、扫舍宇、平治道涂	上表章、开渠、穿井、启攒、针刺、乘船渡水、招贤、布政事、选将、塞穴、上册、颁诏、出师、安抚边境、补垣、筑堤防、营建、宣政事
1984-05-15	一九八四 甲子[鼠]年	四月大	十五	周二	甲子 己巳 己酉 己巳	鼠	金牛座	无	小满 (5, 21)	无	钟离祖师诞	无	祭祀、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、雪冤、赴任、裁制、缮城郭、覃恩、布政事、修宫室、举正直、纳畜、入宅、祈福、酝酿、施恩、临政、搬移、求嗣、恤孤茕	宴会、上表章、修置产室、苫盖、上册
