1988-07-01	一九八八 戊辰[龙]年 五月大十八	周五	无	张天师诞	中国共产党诞生日,香港回归纪念日	戊辰 戊午 丁巳 乙巳	无	小暑 (7, 7)	龙	巨蟹座	恤孤茕、裁制、筑堤防、覃恩、补垣、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、整容、营建、安抚边境、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、出师、疗目
1988-07-02	一九八八 戊辰[龙]年 五月大十九	周六	无	无	无	戊辰 戊午 戊午 丁巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、远回、出师
1988-07-03	一九八八 戊辰[龙]年 五月大二十	周日	无	无	无	戊辰 戊午 己未 己巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、出行、宴会、沐浴、剃头、修造、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、安葬、纳畜、举正直、整手足甲、临政、求嗣、解除、酝酿、裁制、庆赐、开仓、整容、施恩、修宫室、搬移、祈福、缮城郭、立券交易	诸事不忌
1988-07-04	一九八八 戊辰[龙]年 五月大廿一	周一	无	无	无	戊辰 戊午 庚申 辛巳	无	小暑 (7, 7)	龙	巨蟹座	出行、沐浴、剃头、上表章、进人口、竖柱上梁、开市、纳财、扫舍宇、安葬、解除、上册、裁制、整容、补垣、修宫室、搬移、塞穴、缮城郭	祭祀、结婚姻、嫁娶、安床、纳采、举正直、施恩、招贤
1988-07-05	一九八八 戊辰[龙]年 五月大廿二	周二	无	孝娥神诞	无	戊辰 戊午 辛酉 癸巳	无	小暑 (7, 7)	龙	巨蟹座	沐浴、剃头、扫舍宇、平治道涂、整手足甲、恤孤茕、整容、覃恩、雪冤、修饰垣墙	宴会、冠带、修置产室、开渠、穿井、畋猎、启攒、筑堤防、鼓铸、取鱼、修宫室、开仓、布政事
1988-07-06	一九八八 戊辰[龙]年 五月大廿三	周三	无	无	无	戊辰 戊午 壬戌 乙巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、结婚姻、宴会、上官、冠带、进人口、竖柱上梁、经络、安碓硙、纳畜、纳采、临政、酝酿、裁制、庆赐、修宫室、祈福、缮城郭	出行、求医疗病、开市、修置产室、开渠、穿井、栽种、整手足甲、搬移、乘船渡水、开仓、解除
1988-07-07	一九八八 戊辰[龙]年 五月大廿四	周四	无	无	中国人民抗日战争纪念日	戊辰 己未 癸亥 丁巳	小暑	大暑 (7, 22)	龙	巨蟹座	沐浴、恤孤茕、赴任、入宅、雪冤	嫁娶、求医疗病、上表章、上官、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、鼓铸、举正直、布政事、求嗣、解除、上册、颁诏、乘船渡水、开仓、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修饰垣墙、塞穴、招贤、祈福、出师、取鱼
1988-07-08	一九八八 戊辰[龙]年 五月大廿五	周五	无	无	无	戊辰 己未 甲子 己巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师	安床、冠带、进人口、经络、开市、纳财、修置产室、畋猎、破土、启攒、鼓铸、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、塞穴、立券交易、远回、取鱼
1988-07-09	一九八八 戊辰[龙]年 五月大廿六	周六	无	无	无	戊辰 己未 乙丑 辛巳	无	大暑 (7, 22)	龙	巨蟹座	诸事不宜	诸事不宜
1988-07-10	一九八八 戊辰[龙]年 五月大廿七	周日	无	无	无	戊辰 己未 丙寅 癸巳	无	大暑 (7, 22)	龙	巨蟹座	宴会、安床、经络、开市、纳财、栽种、牧养、纳畜、恤孤茕、布政事、酝酿、开仓、庆赐、覃恩、安抚边境、选将、雪冤、立券交易	祭祀、嫁娶、修造、求医疗病、出师、祈福、修仓库、求嗣、解除
1988-07-11	一九八八 戊辰[龙]年 五月大廿八	周一	无	无	世界人口日	戊辰 己未 丁卯 乙巳	无	大暑 (7, 22)	龙	巨蟹座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、纳采、举正直、临政、恤孤茕、布政事、上册、酝酿、裁制、庆赐、筑堤防、覃恩、修宫室、施恩、雪冤、缮城郭、立券交易	剃头、穿井、选将、出师、整容、苫盖
1988-07-12	一九八八 戊辰[龙]年 五月大廿九	周二	无	无	无	戊辰 己未 戊辰 丁巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、纳财、捕捉、恤孤茕、入宅、覃恩、雪冤	上表章、冠带、修置产室、开渠、穿井、破土、安葬、启攒、鼓铸、修仓库、上册、颁诏、筑堤防、安抚边境、营建、宣政事、选将、招贤、出师
1988-07-13	一九八八 戊辰[龙]年 五月大三十	周三	无	无	无	戊辰 己未 己巳 己巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳畜、纳采、临政、恤孤茕、修仓库、求嗣、解除、上册、裁制、庆赐、开仓、覃恩、安抚边境、营建、选将、修宫室、雪冤、搬移、祈福、缮城郭	出行、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、鼓铸、整手足甲、布政事、整容、筑堤防、补垣、修饰垣墙、塞穴、远回、取鱼
1988-07-14	一九八八 戊辰[龙]年 六月小初一	周四	无	无	无	戊辰 己未 庚午 辛巳	无	大暑 (7, 22)	龙	巨蟹座	安葬、赴任、酝酿、补垣、塞穴、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、纳畜、纳采、针刺、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼、疗目
1988-07-15	一九八八 戊辰[龙]年 六月小初二	周五	无	无	无	戊辰 己未 辛未 癸巳	无	大暑 (7, 22)	龙	巨蟹座	出行、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、裁制、庆赐、安抚边境、选将、施恩、搬移、招贤、立券交易、出师	剃头、上表章、立券、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、安葬、启攒、整手足甲、开张、上册、整容、筑堤防、营建、补垣、修饰垣墙
1988-07-16	一九八八 戊辰[龙]年 六月小初三	周六	无	无	无	戊辰 己未 壬申 乙巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、沐浴、扫舍宇	结婚姻、宴会、安床、修造、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、启攒、纳畜、纳采、鼓铸、布政事、修仓库、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、营建、补垣、宣政事、修宫室、搬移、修饰垣墙、塞穴、招贤、缮城郭、立券交易
1988-07-17	一九八八 戊辰[龙]年 六月小初四	周日	无	无	无	戊辰 己未 癸酉 丁巳	无	大暑 (7, 22)	龙	巨蟹座	出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、纳畜、纳采、整手足甲、修仓库、求嗣、解除、赴任、上册、裁制、开仓、入宅、整容、补垣、安抚边境、选将、修宫室、搬移、塞穴、祈福、缮城郭、立券交易、出师	祭祀、宴会、上官、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、针刺、鼓铸、举正直、临政、布政事、颁诏、筑堤防、营建、宣政事、施恩、修饰垣墙、招贤
1988-07-18	一九八八 戊辰[龙]年 六月小初五	周一	无	无	无	戊辰 己未 甲戌 己巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师、取鱼
1988-07-19	一九八八 戊辰[龙]年 六月小初六	周二	无	无	无	戊辰 己未 乙亥 辛巳	无	大暑 (7, 22)	龙	巨蟹座	结婚姻、宴会、沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、纳畜、纳采、临政、恤孤茕、酝酿、裁制、庆赐、修宫室、雪冤、缮城郭	嫁娶、求医疗病、上表章、开市、修置产室、栽种、破土、安葬、启攒、安抚边境、上册、选将、整手足甲、出师、取鱼、乘船渡水、开仓、解除
