1990-08-01	一九九零 庚午[马]年 六月小十一	周三	无	无	中国人民解放军建军节	庚午 癸未 戊戌 丁巳	无	立秋 (8, 8)	马	狮子座	诸事不宜	诸事不宜
1990-08-02	一九九零 庚午[马]年 六月小十二	周四	无	无	无	庚午 癸未 己亥 己巳	无	立秋 (8, 8)	马	狮子座	祭祀、出行、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、祈福	嫁娶、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、取鱼、修饰垣墙、乘船渡水、筑堤防、整容
1990-08-03	一九九零 庚午[马]年 六月小十三	周五	无	无	无	庚午 癸未 庚子 辛巳	无	立秋 (8, 8)	马	狮子座	嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、捕捉、纳采、安抚边境、整手足甲、搬移、临政、入宅、整容、解除	出行、结婚姻、宴会、安床、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、安葬、纳畜、鼓铸、举正直、修仓库、求嗣、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、补垣、营建、选将、施恩、修宫室、修饰垣墙、塞穴、祈福、招贤、缮城郭、立券交易、远回、出师、取鱼
1990-08-04	一九九零 庚午[马]年 六月小十四	周六	无	无	无	庚午 癸未 辛丑 癸巳	无	立秋 (8, 8)	马	狮子座	诸事不宜	诸事不宜
1990-08-05	一九九零 庚午[马]年 六月小十五	周日	无	无	恩格斯逝世纪念日	庚午 癸未 壬寅 乙巳	无	立秋 (8, 8)	马	狮子座	结婚姻、宴会、安床、经络、开市、纳财、牧养、安葬、纳畜、安抚边境、立券交易、选将、酝酿、开仓	祭祀、剃头、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、整手足甲、修仓库、求嗣、解除、整容、筑堤防、营建、补垣、修宫室、修饰垣墙、祈福、缮城郭、出师
1990-08-06	一九九零 庚午[马]年 六月小十六	周一	无	无	国际电影节	庚午 癸未 癸卯 丁巳	无	立秋 (8, 8)	马	狮子座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳采、举正直、临政、上册、酝酿、裁制、庆赐、施恩、立券交易	修置产室、开渠、穿井、平治道涂、破屋坏垣、补垣、营建、选将、出师、修饰垣墙、苫盖
1990-08-07	一九九零 庚午[马]年 六月小十七	周二	无	无	无	庚午 癸未 甲辰 己巳	无	立秋 (8, 8)	马	狮子座	纳财、捕捉、牧养、纳畜、恤孤茕、覃恩、雪冤	冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、取鱼、修饰垣墙、乘船渡水、布政事、筑堤防
1990-08-08	一九九零 庚午[马]年 六月小十八	周三	无	无	无	庚午 甲申 乙巳 辛巳	立秋	处暑 (8, 23)	马	狮子座	结婚姻、宴会、嫁娶、修造、进人口、经络、开市、纳财、捕捉、栽种、牧养、安葬、纳畜、纳采、赴任、酝酿、开仓、入宅、搬移、立券交易	祭祀、出行、剃头、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、出师
1990-08-09	一九九零 庚午[马]年 六月小十九	周四	无	观世音菩萨成道日	无	庚午 甲申 丙午 癸巳	无	处暑 (8, 23)	马	狮子座	入学、恤孤茕、覃恩、雪冤	结婚姻、嫁娶、冠带、进人口、竖柱上梁、经络、伐木、畋猎、启攒、纳采、布政事、酝酿、开仓、入宅、筑堤防、营建、补垣、塞穴、取鱼
1990-08-10	一九九零 庚午[马]年 六月小二十	周五	无	无	无	庚午 甲申 丁未 乙巳	无	处暑 (8, 23)	马	狮子座	祭祀、破土、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、安葬、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼、疗目
1990-08-11	一九九零 庚午[马]年 六月小廿一	周六	无	无	无	庚午 甲申 戊申 丁巳	无	处暑 (8, 23)	马	狮子座	祭祀、出行、嫁娶、沐浴、上官、进人口、经络、纳财、扫舍宇、牧养、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、出师	诸事不忌
1990-08-12	一九九零 庚午[马]年 六月小廿二	周日	无	无	国际青年日	庚午 甲申 己酉 己巳	无	处暑 (8, 23)	马	狮子座	出行、沐浴、剃头、求医疗病、上官、扫舍宇、安葬、整手足甲、临政、恤孤茕、布政事、解除、整容、覃恩、安抚边境、选将、雪冤、出师	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、捕捉、畋猎、栽种、牧养、纳畜、纳采、鼓铸、修仓库、求嗣、上册、颁诏、乘船渡水、开仓、筑堤防、补垣、营建、宣政事、修宫室、搬移、塞穴、招贤、祈福、缮城郭、立券交易、取鱼
1990-08-13	一九九零 庚午[马]年 六月小廿三	周一	无	无	无	庚午 甲申 庚戌 辛巳	无	处暑 (8, 23)	马	狮子座	宴会、修造、上表章、进人口、竖柱上梁、开市、纳财、栽种、牧养、纳畜、恤孤茕、布政事、修仓库、上册、裁制、开仓、庆赐、入宅、覃恩、补垣、修宫室、雪冤、搬移、塞穴、缮城郭、立券交易	祭祀、出行、结婚姻、上官、破土、启攒、举正直、整手足甲、施恩、取鱼、乘船渡水、招贤
1990-08-14	一九九零 庚午[马]年 六月小廿四	周二	无	关帝诞	无	庚午 甲申 辛亥 癸巳	无	处暑 (8, 23)	马	狮子座	祭祀、沐浴、平治道涂、覃恩、雪冤、修饰垣墙、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师
1990-08-15	一九九零 庚午[马]年 六月小廿五	周三	无	无	无	庚午 甲申 壬子 乙巳	无	处暑 (8, 23)	马	狮子座	祭祀、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭	修置产室、开渠、穿井、畋猎、取鱼
