1997-01-01	一九九六 丙子[鼠]年 冬月小廿二	周三	元旦节	无	无	丙子 庚子 癸卯 丁巳	无	小寒 (1, 5)	鼠	摩羯座	诸事不宜	诸事不宜
1997-01-02	一九九六 丙子[鼠]年 冬月小廿三	周四	无	张仙诞	无	丙子 庚子 甲辰 己巳	无	小寒 (1, 5)	鼠	摩羯座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、纳畜、纳采、举正直、临政、求嗣、赴任、酝酿、裁制、庆赐、修宫室、施恩、搬移、祈福、缮城郭、诉讼	修置产室、乘船渡水、整手足甲
1997-01-03	一九九六 丙子[鼠]年 冬月小廿四	周五	无	无	无	丙子 庚子 乙巳 辛巳	无	小寒 (1, 5)	鼠	摩羯座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、鼓铸、整手足甲、布政事、整容、筑堤防、补垣、修饰垣墙、塞穴、取鱼
1997-01-04	一九九六 丙子[鼠]年 冬月小廿五	周六	无	无	无	丙子 庚子 丙午 癸巳	无	小寒 (1, 5)	鼠	摩羯座	祭祀、沐浴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
1997-01-05	一九九六 丙子[鼠]年 冬月小廿六	周日	无	北方五道诞	无	丙子 辛丑 丁未 乙巳	小寒	大寒 (1, 20)	鼠	摩羯座	破屋坏垣	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1997-01-06	一九九六 丙子[鼠]年 冬月小廿七	周一	无	无	无	丙子 辛丑 戊申 丁巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、破土、纳畜、整手足甲、酝酿、开仓、整容、安抚边境、选将	结婚姻、宴会、纳采、庆赐、求嗣
1997-01-07	一九九六 丙子[鼠]年 冬月小廿八	周二	无	无	无	丙子 辛丑 己酉 己巳	无	大寒 (1, 20)	鼠	摩羯座	出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、扫舍宇、栽种、牧养、举正直、整手足甲、临政、恤孤茕、布政事、修仓库、解除、上册、酝酿、裁制、整容、筑堤防、覃恩、修宫室、施恩、雪冤、缮城郭	宴会、畋猎、选将、出师、苫盖
1997-01-08	一九九六 丙子[鼠]年 冬月小廿九	周三	无	无	周恩来逝世纪念日	丙子 辛丑 庚戌 辛巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、捕捉、恤孤茕、覃恩、雪冤	安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、鼓铸、整手足甲、酝酿、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易、取鱼
1997-01-09	一九九六 丙子[鼠]年 腊月小初一	周四	无	无	无	丙子 辛丑 辛亥 癸巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳采、临政、恤孤茕、布政事、修仓库、求嗣、解除、赴任、上册、裁制、庆赐、开仓、入宅、覃恩、安抚边境、选将、修宫室、雪冤、搬移、祈福、缮城郭	嫁娶、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、安葬、启攒、纳畜、鼓铸、整手足甲、整容、筑堤防、营建、补垣、修饰垣墙、塞穴、远回、取鱼、出师
1997-01-10	一九九六 丙子[鼠]年 腊月小初二	周五	无	无	中国公安110宣传日	丙子 辛丑 壬子 乙巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、沐浴、经络、恤孤茕、酝酿、覃恩、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、远回、出师、疗目
1997-01-11	一九九六 丙子[鼠]年 腊月小初三	周六	无	无	无	丙子 辛丑 癸丑 丁巳	无	大寒 (1, 20)	鼠	摩羯座	宴会、经络、纳财、纳畜、举正直、恤孤茕、布政事、酝酿、裁制、庆赐、覃恩、施恩、雪冤、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、颁诏、开仓、整容、筑堤防、营建、补垣、宣政事、搬移、修饰垣墙、祈福、取鱼
