1997-06-01	一九九七 丁丑[牛]年 四月小廿六	周日	无	无	国际儿童节	丁丑 乙巳 甲戌 己巳	无	芒种 (6, 5)	牛	双子座	嫁娶、沐浴、剃头、求医疗病、上表章、捕捉、安抚边境、选将、整手足甲、整容、解除	出行、修造、开仓、修仓库
1997-06-02	一九九七 丁丑[牛]年 四月小廿七	周一	无	无	无	丁丑 乙巳 乙亥 辛巳	无	芒种 (6, 5)	牛	双子座	沐浴、破屋坏垣、恤孤茕、解除、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、鼓铸、整手足甲、布政事、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
1997-06-03	一九九七 丁丑[牛]年 四月小廿八	周二	无	无	无	丁丑 乙巳 丙子 癸巳	无	芒种 (6, 5)	牛	双子座	祭祀、宴会、沐浴、经络、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、雪冤	诸事不忌
1997-06-04	一九九七 丁丑[牛]年 四月小廿九	周三	无	无	无	丁丑 乙巳 丁丑 乙巳	无	芒种 (6, 5)	牛	双子座	出行、结婚姻、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、纳采、举正直、临政、修仓库、赴任、上册、酝酿、裁制、庆赐、入宅、筑堤防、修宫室、施恩、缮城郭、立券交易	剃头、冠带、选将、取鱼、出师、远回、乘船渡水、整容
1997-06-05	一九九七 丁丑[牛]年 五月大初一	周四	无	南极长生大帝诞	世界环境日	丁丑 丙午 戊寅 丁巳	芒种	夏至 (6, 21)	牛	双子座	结婚姻、宴会、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、纳采、举正直、临政、修仓库、求嗣、解除、酝酿、裁制、庆赐、开仓、筑堤防、修宫室、施恩、祈福、缮城郭、立券交易	祭祀、安葬、选将、远回、整手足甲、出师
1997-06-06	一九九七 丁丑[牛]年 五月大初二	周五	无	无	全国爱眼日	丁丑 丙午 己卯 己巳	无	夏至 (6, 21)	牛	双子座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼
1997-06-07	一九九七 丁丑[牛]年 五月大初三	周六	无	无	无	丁丑 丙午 庚辰 辛巳	无	夏至 (6, 21)	牛	双子座	出行、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳采、举正直、临政、恤孤茕、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、覃恩、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、诉讼	嫁娶、伐木、畋猎、取鱼
1997-06-08	一九九七 丁丑[牛]年 五月大初四	周日	无	无	世界海洋日	丁丑 丙午 辛巳 癸巳	无	夏至 (6, 21)	牛	双子座	祭祀、栽种、牧养、纳畜、恤孤茕、修仓库、裁制、筑堤防、覃恩、补垣、雪冤、塞穴、缮城郭	出行、修置产室、开渠、穿井、畋猎、破土、启攒、针刺、取鱼、修宫室、开仓、疗目
1997-06-09	一九九七 丁丑[牛]年 五月大初五	周一	端午节	无	无	丁丑 丙午 壬午 乙巳	无	夏至 (6, 21)	牛	双子座	覃恩、雪冤、入宅、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、开张、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、远回、出师
1997-06-10	一九九七 丁丑[牛]年 五月大初六	周二	无	无	无	丁丑 丙午 癸未 丁巳	无	夏至 (6, 21)	牛	双子座	结婚姻、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、破土、纳畜、举正直、临政、恤孤茕、布政事、解除、酝酿、庆赐、整容、覃恩、施恩、雪冤、立券交易	修造、搬移
1997-06-11	一九九七 丁丑[牛]年 五月大初七	周三	无	无	中国人口日	丁丑 丙午 甲申 己巳	无	夏至 (6, 21)	牛	双子座	出行、沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、安葬、整手足甲、解除、上册、裁制、整容、补垣、修宫室、搬移、塞穴、缮城郭	祭祀、结婚姻、安床、修造、纳采、举正直、取鱼、施恩、乘船渡水、招贤
1997-06-12	一九九七 丁丑[牛]年 五月大初八	周四	无	南方五道诞	无	丁丑 丙午 乙酉 辛巳	无	夏至 (6, 21)	牛	双子座	沐浴、剃头、扫舍宇、平治道涂、整手足甲、整容、修饰垣墙	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师
1997-06-13	一九九七 丁丑[牛]年 五月大初九	周五	无	无	无	丁丑 丙午 丙戌 癸巳	无	夏至 (6, 21)	牛	双子座	祭祀、宴会、经络、安碓硙、举正直、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、招贤、祈福	安床、开市、修置产室、畋猎、破土、启攒、开仓、筑堤防、取鱼
1997-06-14	一九九七 丁丑[牛]年 五月大初十	周六	无	无	世界献血日	丁丑 丙午 丁亥 乙巳	无	夏至 (6, 21)	牛	双子座	祭祀、沐浴、捕捉、恤孤茕、赴任、入宅、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、安葬、启攒、鼓铸、整手足甲、布政事、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
1997-06-15	一九九七 丁丑[牛]年 五月大十一	周日	无	天下都城隍诞	父亲节	丁丑 丙午 戊子 丁巳	无	夏至 (6, 21)	牛	双子座	诸事不宜	诸事不宜
1997-06-16	一九九七 丁丑[牛]年 五月大十二	周一	无	炳灵公诞	无	丁丑 丙午 己丑 己巳	无	夏至 (6, 21)	牛	双子座	祭祀、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1997-06-17	一九九七 丁丑[牛]年 五月大十三	周二	无	关圣降	无	丁丑 丙午 庚寅 辛巳	无	夏至 (6, 21)	牛	双子座	宴会、上官、入学、进人口、竖柱上梁、开市、纳财、安碓硙、栽种、牧养、纳采、举正直、临政、修仓库、求嗣、酝酿、裁制、庆赐、筑堤防、修宫室、施恩、祈福、缮城郭、立券交易	祭祀、远回、出师、选将
1997-06-18	一九九七 丁丑[牛]年 五月大十四	周三	无	无	无	丁丑 丙午 辛卯 癸巳	无	夏至 (6, 21)	牛	双子座	祭祀、恤孤茕、覃恩、雪冤	冠带、修置产室、开渠、穿井、畋猎、针刺、补垣、筑堤防、鼓铸、取鱼、修宫室、乘船渡水、塞穴、开仓、布政事
1997-06-19	一九九七 丁丑[牛]年 五月大十五	周四	无	无	无	丁丑 丙午 壬辰 乙巳	无	夏至 (6, 21)	牛	双子座	出行、结婚姻、宴会、嫁娶、修造、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳采、举正直、临政、恤孤茕、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、诉讼	剃头、开渠、伐木、畋猎、安抚边境、选将、整手足甲、取鱼、出师、整容
1997-06-20	一九九七 丁丑[牛]年 五月大十六	周五	无	天地元气造化万物之辰	无	丁丑 丙午 癸巳 丁巳	无	夏至 (6, 21)	牛	双子座	恤孤茕、裁制、筑堤防、覃恩、补垣、安抚边境、选将、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、纳采、针刺、举正直、临政、布政事、求嗣、解除、上册、颁诏、庆赐、开仓、营建、宣政事、施恩、修宫室、搬移、招贤、祈福、出师、疗目
1997-06-21	一九九七 丁丑[牛]年 五月大十七	周六	无	无	无	丁丑 丙午 甲午 己巳	夏至	小暑 (7, 7)	牛	双子座	诸事不宜	诸事不宜
1997-06-22	一九九七 丁丑[牛]年 五月大十八	周日	无	张天师诞	无	丁丑 丙午 乙未 辛巳	无	小暑 (7, 7)	牛	巨蟹座	宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、破土、安葬、纳畜、举正直、整手足甲、临政、解除、酝酿、整容、安抚边境、选将、施恩、立券交易	修造、栽种、搬移、修仓库
1997-06-23	一九九七 丁丑[牛]年 五月大十九	周一	无	无	无	丁丑 丙午 丙申 癸巳	无	小暑 (7, 7)	牛	巨蟹座	出行、嫁娶、沐浴、剃头、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、纳畜、恤孤茕、求嗣、解除、上册、颁诏、裁制、整容、覃恩、补垣、安抚边境、营建、宣政事、选将、修宫室、雪冤、搬移、塞穴、祈福、缮城郭、出师	祭祀、安床、畋猎、取鱼
1997-06-24	一九九七 丁丑[牛]年 五月大二十	周二	无	无	无	丁丑 丙午 丁酉 乙巳	无	小暑 (7, 7)	牛	巨蟹座	沐浴、扫舍宇、平治道涂、整手足甲、赴任、入宅、修饰垣墙	祭祀、宴会、剃头、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、启攒、鼓铸、举正直、临政、布政事、修仓库、求嗣、上册、颁诏、庆赐、开仓、筑堤防、营建、宣政事、施恩、修宫室、招贤、祈福、缮城郭
