2000-12-01	二零零零 庚辰[龙]年 冬月大初六	周五	无	西岳大帝诞	世界艾滋病日	庚辰 丁亥 癸巳 丁巳	无	大雪 (12, 7)	龙	射手座	求医疗病、破屋坏垣	出行、结婚姻、宴会、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、招贤、布政事、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、上册、塞穴、整手足甲、修宫室、祈福
2000-12-02	二零零零 庚辰[龙]年 冬月大初七	周六	无	无	无	庚辰 丁亥 甲午 己巳	无	大雪 (12, 7)	龙	射手座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、竖柱上梁、纳财、伐木、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、安抚边境、施恩、宣政事、上册、修宫室、祈福	冠带、修置产室、畋猎、筑堤防、取鱼、苫盖
2000-12-03	二零零零 庚辰[龙]年 冬月大初八	周日	无	无	无	庚辰 丁亥 乙未 辛巳	无	大雪 (12, 7)	龙	射手座	祭祀、结婚姻、宴会、修造、入学、竖柱上梁、经络、开市、纳财、安碓硙、牧养、破土、安葬、庆赐、裁制、开仓、纳采、修仓库、赴任、入宅、恤孤茕、解除、纳畜、筑堤防、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、修宫室、立券交易、祈福	捕捉、畋猎、乘船渡水、取鱼
2000-12-04	二零零零 庚辰[龙]年 冬月大初九	周一	无	无	无	庚辰 丁亥 丙申 癸巳	无	大雪 (12, 7)	龙	射手座	沐浴、扫舍宇、捕捉	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
2000-12-05	二零零零 庚辰[龙]年 冬月大初十	周二	无	无	无	庚辰 丁亥 丁酉 乙巳	无	大雪 (12, 7)	龙	射手座	沐浴、入学、扫舍宇、恤孤茕、覃恩、雪冤	结婚姻、宴会、嫁娶、冠带、进人口、竖柱上梁、经络、伐木、畋猎、启攒、补垣、开仓、纳采、入宅、出师、布政事、选将、筑堤防、酝酿、营建、取鱼、安抚边境、塞穴
2000-12-06	二零零零 庚辰[龙]年 冬月大十一	周三	无	太乙救苦天尊诞	无	庚辰 丁亥 戊戌 丁巳	无	大雪 (12, 7)	龙	射手座	诸事不宜	诸事不宜
2000-12-07	二零零零 庚辰[龙]年 冬月大十二	周四	无	无	无	庚辰 戊子 己亥 己巳	大雪	冬至 (12, 21)	龙	射手座	沐浴、补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、颁诏、解除、出师、招贤、布政事、整容、举正直、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、祈福
2000-12-08	二零零零 庚辰[龙]年 冬月大十三	周五	无	无	无	庚辰 戊子 庚子 辛巳	无	冬至 (12, 21)	龙	射手座	沐浴、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
2000-12-09	二零零零 庚辰[龙]年 冬月大十四	周六	无	无	无	庚辰 戊子 辛丑 癸巳	无	冬至 (12, 21)	龙	射手座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、安葬、临政、解除、恤孤茕、出师、整容、选将、举正直、雪冤、施恩、安抚边境、整手足甲、立券交易、祈福	修造、冠带、乘船渡水
2000-12-10	二零零零 庚辰[龙]年 冬月大十五	周日	无	无	无	庚辰 戊子 壬寅 乙巳	无	冬至 (12, 21)	龙	射手座	宴会、嫁娶、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、颁诏、恤孤茕、解除、出师、纳畜、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、剃头、开渠、穿井、畋猎、整容、取鱼、远回、整手足甲
2000-12-11	二零零零 庚辰[龙]年 冬月大十六	周一	无	无	无	庚辰 戊子 癸卯 丁巳	无	冬至 (12, 21)	龙	射手座	诸事不宜	诸事不宜
