2010-01-01	二零零九 己丑[牛]年 冬月大十七	周五	元旦节	阿弥陀佛诞	无	己丑 丙子 辛亥 癸巳	无	小寒 (1, 5)	牛	摩羯座	沐浴、恤孤茕、裁制、筑堤防、覃恩、补垣、安抚边境、选将、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、纳采、针刺、举正直、临政、布政事、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、营建、宣政事、施恩、修宫室、搬移、招贤、祈福、出师、疗目
2010-01-02	二零零九 己丑[牛]年 冬月大十八	周六	无	无	无	己丑 丙子 壬子 乙巳	无	小寒 (1, 5)	牛	摩羯座	祭祀、沐浴、覃恩、雪冤、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
2010-01-03	二零零九 己丑[牛]年 冬月大十九	周日	无	太阳日宫诞	无	己丑 丙子 癸丑 丁巳	无	小寒 (1, 5)	牛	摩羯座	祭祀、出行、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、举正直、临政、恤孤茕、布政事、解除、酝酿、裁制、庆赐、整容、覃恩、施恩、雪冤、祈福、立券交易	修造、冠带、破土、启攒、纳采
2010-01-04	二零零九 己丑[牛]年 冬月大二十	周一	无	无	无	己丑 丙子 甲寅 己巳	无	小寒 (1, 5)	牛	摩羯座	宴会、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、求嗣、解除、上册、裁制、庆赐、入宅、补垣、修宫室、塞穴、祈福、缮城郭、立券交易	祭祀、远回、取鱼、乘船渡水、招贤
2010-01-05	二零零九 己丑[牛]年 冬月大廿一	周二	无	无	无	己丑 丁丑 乙卯 辛巳	小寒	大寒 (1, 20)	牛	摩羯座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、庆赐、覃恩、补垣、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师	祭祀、剃头、冠带、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、鼓铸、整手足甲、开张、布政事、入宅、整容、筑堤防、修饰垣墙、取鱼
2010-01-06	二零零九 己丑[牛]年 冬月大廿二	周三	无	无	无	己丑 丁丑 丙辰 癸巳	无	大寒 (1, 20)	牛	摩羯座	诸事不宜	诸事不宜
2010-01-07	二零零九 己丑[牛]年 冬月大廿三	周四	无	张仙诞	无	己丑 丁丑 丁巳 乙巳	无	大寒 (1, 20)	牛	摩羯座	诸事不宜	出行、安床、剃头、求医疗病、上表章、上官、开市、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、鼓铸、举正直、整手足甲、布政事、求嗣、解除、上册、颁诏、乘船渡水、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、出师、取鱼
2010-01-08	二零零九 己丑[牛]年 冬月大廿四	周五	无	无	周恩来逝世纪念日	己丑 丁丑 戊午 丁巳	无	大寒 (1, 20)	牛	摩羯座	沐浴、剃头、捕捉、畋猎、赴任、诉讼、整手足甲、整容	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、纳畜、纳采、举正直、临政、修仓库、求嗣、解除、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、安抚边境、营建、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
2010-01-09	二零零九 己丑[牛]年 冬月大廿五	周六	无	无	无	己丑 丁丑 己未 己巳	无	大寒 (1, 20)	牛	摩羯座	破屋坏垣、赴任、入宅	祭祀、结婚姻、宴会、剃头、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、纳畜、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、出师
2010-01-10	二零零九 己丑[牛]年 冬月大廿六	周日	无	北方五道诞	中国公安110宣传日	己丑 丁丑 庚申 辛巳	无	大寒 (1, 20)	牛	摩羯座	祭祀、出行、沐浴、剃头、修造、上表章、上官、竖柱上梁、开市、纳财、扫舍宇、伐木、栽种、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、修仓库、上册、酝酿、颁诏、裁制、开仓、整容、覃恩、营建、宣政事、施恩、雪冤、搬移、招贤、缮城郭	取鱼
2010-01-11	二零零九 己丑[牛]年 冬月大廿七	周一	无	无	无	己丑 丁丑 辛酉 癸巳	无	大寒 (1, 20)	牛	摩羯座	祭祀、出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、安碓硙、扫舍宇、栽种、牧养、安葬、举正直、整手足甲、临政、求嗣、解除、上册、裁制、整容、筑堤防、修宫室、施恩、祈福、缮城郭	宴会、畋猎、选将、出师、苫盖
