2037-06-01	二零三七 丁巳[蛇]年	四月大	十八	周一	丁巳 乙巳 甲辰 己巳	无	芒种 (6, 5)	无	紫徽大帝诞	国际儿童节	蛇	双子座	诸事不宜	诸事不宜
2037-06-02	二零三七 丁巳[蛇]年	四月大	十九	周二	丁巳 乙巳 乙巳 辛巳	无	芒种 (6, 5)	无	无	无	蛇	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、搬移、裁制、颁诏、覃恩、恤孤茕、雪冤、庆赐、招贤、宣政事、安抚边境、施恩、立券交易、临政、纳畜、举正直、酝酿、选将	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、取鱼、整容、整手足甲、筑堤防、开仓、修饰垣墙
2037-06-03	二零三七 丁巳[蛇]年	四月大	二十	周三	丁巳 乙巳 丙午 癸巳	无	芒种 (6, 5)	无	眼光圣母诞	无	蛇	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、裁制、颁诏、覃恩、恤孤茕、雪冤、庆赐、整容、宣政事、整手足甲	冠带、修置产室、畋猎、启攒、取鱼、苫盖、乘船渡水、筑堤防、开仓、修宫室
2037-06-04	二零三七 丁巳[蛇]年	四月大	廿一	周四	丁巳 乙巳 丁未 乙巳	无	芒种 (6, 5)	无	无	无	蛇	双子座	赴任、入宅	祭祀、结婚姻、剃头、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、颁诏、补垣、取鱼、招贤、整容、布政事、宣政事、安抚边境、施恩、修饰垣墙、临政、纳畜、举正直、解除、乘船渡水、选将、远回、鼓铸、营建、整手足甲、出师、筑堤防
2037-06-05	二零三七 丁巳[蛇]年	四月大	廿二	周五	丁巳 丙午 戊申 丁巳	芒种	夏至 (6, 21)	无	无	世界环境日	蛇	双子座	出行、沐浴、剃头、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、破土、安葬、搬移、祈福、缮城郭、裁制、上册、修宫室、求嗣、补垣、整容、安抚边境、解除、塞穴、选将、整手足甲、出师	祭祀、招贤
2037-06-06	二零三七 丁巳[蛇]年	四月大	廿三	周六	丁巳 丙午 己酉 己巳	无	夏至 (6, 21)	无	无	全国爱眼日	蛇	双子座	沐浴、剃头、扫舍宇、平治道涂、覃恩、恤孤茕、雪冤、整容、修饰垣墙	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、裁制、上册、开仓、修宫室、颁诏、求嗣、庆赐、招贤、布政事、宣政事、安抚边境、施恩、立券交易、临政、纳畜、举正直、解除、乘船渡水、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
2037-06-07	二零三七 丁巳[蛇]年	四月大	廿四	周日	丁巳 丙午 庚戌 辛巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、安碓硙、祈福、缮城郭、裁制、修宫室、覃恩、庆赐、恤孤茕、雪冤、布政事、临政、纳畜、酝酿、纳采	求医疗病、开市、修置产室、栽种、解除、开仓
2037-06-08	二零三七 丁巳[蛇]年	四月大	廿五	周一	丁巳 丙午 辛亥 癸巳	无	夏至 (6, 21)	无	无	世界海洋日	蛇	双子座	祭祀、沐浴、捕捉、覃恩、恤孤茕、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、修宫室、补垣、取鱼、整容、修饰垣墙、塞穴、鼓铸、整手足甲、筑堤防
2037-06-09	二零三七 丁巳[蛇]年	四月大	廿六	周二	丁巳 丙午 壬子 乙巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	沐浴、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、开仓、上册、裁制、修宫室、颁诏、求嗣、庆赐、补垣、取鱼、招贤、整容、布政事、宣政事、安抚边境、入宅、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、乘船渡水、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防、苫盖
2037-06-10	二零三七 丁巳[蛇]年	四月大	廿七	周三	丁巳 丙午 癸丑 丁巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、裁制、上册、修宫室、开仓、颁诏、求嗣、庆赐、补垣、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
2037-06-11	二零三七 丁巳[蛇]年	四月大	廿八	周四	丁巳 丙午 甲寅 己巳	无	夏至 (6, 21)	无	无	中国人口日	蛇	双子座	宴会、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、祈福、缮城郭、裁制、修宫室、求嗣、庆赐、施恩、立券交易、临政、举正直、酝酿、筑堤防	祭祀、选将、远回、出师、开仓
2037-06-12	二零三七 丁巳[蛇]年	四月大	廿九	周五	丁巳 丙午 乙卯 辛巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	祭祀	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、裁制、上册、开仓、修宫室、颁诏、求嗣、庆赐、补垣、取鱼、针刺、招贤、布政事、宣政事、安抚边境、施恩、立券交易、临政、纳畜、举正直、解除、塞穴、乘船渡水、修仓库、酝酿、选将、鼓铸、营建、纳采、出师、筑堤防
2037-06-13	二零三七 丁巳[蛇]年	四月大	三十	周六	丁巳 丙午 丙辰 癸巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、诉讼、搬移、祈福、缮城郭、裁制、上册、修宫室、颁诏、求嗣、覃恩、恤孤茕、雪冤、庆赐、招贤、宣政事、安抚边境、施恩、临政、纳畜、举正直、解除、赴任、选将、营建、纳采、出师	伐木、畋猎、取鱼
2037-06-14	二零三七 丁巳[蛇]年	五月小	初一	周日	丁巳 丙午 丁巳 乙巳	无	夏至 (6, 21)	无	南极长生大帝诞	世界献血日	蛇	双子座	裁制、覃恩、恤孤茕、补垣、雪冤、入宅、塞穴、赴任、筑堤防	出行、结婚姻、剃头、上表章、竖柱上梁、修置产室、开渠、穿井、破土、安葬、启攒、祈福、开仓、上册、修宫室、求嗣、针刺、整容、布政事、疗目、解除、营建、整手足甲、出师
2037-06-15	二零三七 丁巳[蛇]年	五月小	初二	周一	丁巳 丙午 戊午 丁巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	诸事不宜	诸事不宜
2037-06-16	二零三七 丁巳[蛇]年	五月小	初三	周二	丁巳 丙午 己未 己巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	祭祀、出行、宴会、沐浴、剃头、修造、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、安葬、搬移、祈福、缮城郭、开仓、裁制、修宫室、求嗣、庆赐、整容、施恩、立券交易、临政、纳畜、举正直、解除、酝酿、整手足甲	诸事不忌
2037-06-17	二零三七 丁巳[蛇]年	五月小	初四	周三	丁巳 丙午 庚申 辛巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	出行、沐浴、剃头、上表章、进人口、竖柱上梁、开市、纳财、扫舍宇、安葬、搬移、缮城郭、裁制、上册、修宫室、补垣、整容、解除、塞穴、整手足甲	祭祀、结婚姻、嫁娶、安床、招贤、举正直、纳采、施恩
