2046-12-01	二零四六 丙寅[虎]年 冬月小初四	周六	无	至圣先师孔子诞	世界艾滋病日	丙寅 己亥 甲午 己巳	无	大雪 (12, 7)	虎	射手座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、竖柱上梁、纳财、伐木、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、安抚边境、施恩、宣政事、上册、修宫室、祈福	冠带、修置产室、畋猎、筑堤防、取鱼、苫盖
2046-12-02	二零四六 丙寅[虎]年 冬月小初五	周日	无	无	无	丙寅 己亥 乙未 辛巳	无	大雪 (12, 7)	虎	射手座	祭祀、结婚姻、宴会、修造、入学、竖柱上梁、经络、开市、纳财、安碓硙、牧养、破土、安葬、庆赐、裁制、开仓、纳采、修仓库、恤孤茕、解除、纳畜、筑堤防、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、修宫室、立券交易、祈福	捕捉、畋猎、乘船渡水、取鱼
2046-12-03	二零四六 丙寅[虎]年 冬月小初六	周一	无	西岳大帝诞	无	丙寅 己亥 丙申 癸巳	无	大雪 (12, 7)	虎	射手座	嫁娶、沐浴、剃头、修造、求医疗病、进人口、纳财、扫舍宇、捕捉、畋猎、栽种、牧养、安葬、搬移、纳采、解除、入宅、纳畜、整容、整手足甲	出行、结婚姻、宴会、安床、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、立券交易、祈福
2046-12-04	二零四六 丙寅[虎]年 冬月小初七	周二	无	无	无	丙寅 己亥 丁酉 乙巳	无	大雪 (12, 7)	虎	射手座	沐浴、入学、扫舍宇、恤孤茕、覃恩、雪冤	结婚姻、宴会、嫁娶、冠带、进人口、竖柱上梁、经络、伐木、畋猎、启攒、补垣、开仓、纳采、入宅、出师、布政事、选将、筑堤防、酝酿、营建、取鱼、安抚边境、塞穴
2046-12-05	二零四六 丙寅[虎]年 冬月小初八	周三	无	无	无	丙寅 己亥 戊戌 丁巳	无	大雪 (12, 7)	虎	射手座	诸事不宜	诸事不宜
2046-12-06	二零四六 丙寅[虎]年 冬月小初九	周四	无	无	无	丙寅 己亥 己亥 己巳	无	大雪 (12, 7)	虎	射手座	沐浴、恤孤茕、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、开仓、鼓铸、乘船渡水、整容、布政事、筑堤防、针刺、取鱼、修饰垣墙、塞穴、整手足甲
2046-12-07	二零四六 丙寅[虎]年 冬月小初十	周五	无	无	无	丙寅 庚子 庚子 辛巳	大雪	冬至 (12, 22)	虎	射手座	诸事不宜	诸事不宜
2046-12-08	二零四六 丙寅[虎]年 冬月小十一	周六	无	太乙救苦天尊诞	无	丙寅 庚子 辛丑 癸巳	无	冬至 (12, 22)	虎	射手座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、安葬、临政、搬移、纳采、立券交易、赴任、解除、入宅、恤孤茕、出师、整容、选将、举正直、雪冤、施恩、安抚边境、整手足甲、祈福	冠带
2046-12-09	二零四六 丙寅[虎]年 冬月小十二	周日	无	无	无	丙寅 庚子 壬寅 乙巳	无	冬至 (12, 22)	虎	射手座	宴会、嫁娶、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、颁诏、恤孤茕、解除、纳畜、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、剃头、开渠、穿井、畋猎、整容、取鱼、远回
2046-12-10	二零四六 丙寅[虎]年 冬月小十三	周一	无	无	无	丙寅 庚子 癸卯 丁巳	无	冬至 (12, 22)	虎	射手座	诸事不宜	诸事不宜
2046-12-11	二零四六 丙寅[虎]年 冬月小十四	周二	无	无	无	丙寅 庚子 甲辰 己巳	无	冬至 (12, 22)	虎	射手座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、庆赐、临政、搬移、裁制、纳采、赴任、纳畜、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福、诉讼	修置产室、乘船渡水
2046-12-12	二零四六 丙寅[虎]年 冬月小十五	周三	无	无	西安事变纪念日	丙寅 庚子 乙巳 辛巳	无	冬至 (12, 22)	虎	射手座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲
2046-12-13	二零四六 丙寅[虎]年 冬月小十六	周四	无	无	南京大屠杀纪念日	丙寅 庚子 丙午 癸巳	无	冬至 (12, 22)	虎	射手座	祭祀、沐浴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、取鱼、上册、苫盖、塞穴、整手足甲、修宫室、立券交易、祈福
2046-12-14	二零四六 丙寅[虎]年 冬月小十七	周五	无	阿弥陀佛诞	无	丙寅 庚子 丁未 乙巳	无	冬至 (12, 22)	虎	射手座	祭祀、伐木、恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、补垣、开仓、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
2046-12-15	二零四六 丙寅[虎]年 冬月小十八	周六	无	无	无	丙寅 庚子 戊申 丁巳	无	冬至 (12, 22)	虎	射手座	沐浴、剃头、求医疗病、上官、入学、竖柱上梁、经络、扫舍宇、牧养、临政、裁制、解除、整容、举正直、酝酿、施恩、整手足甲	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、补垣、开仓、鼓铸、乘船渡水、出师、选将、营建、取鱼、修饰垣墙、塞穴
2046-12-16	二零四六 丙寅[虎]年 冬月小十九	周日	无	太阳日宫诞	无	丙寅 庚子 己酉 己巳	无	冬至 (12, 22)	虎	射手座	沐浴、剃头、扫舍宇、捕捉、畋猎、恤孤茕、整容、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、修宫室、整手足甲、祈福
2046-12-17	二零四六 丙寅[虎]年 冬月小二十	周一	无	无	无	丙寅 庚子 庚戌 辛巳	无	冬至 (12, 22)	虎	射手座	宴会、修造、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、裁制、解除、恤孤茕、布政事、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、进人口、经络、伐木、捕捉、畋猎、开仓、出师、选将、取鱼、安抚边境
