2058-07-01	二零五八 戊寅[虎]年	五月小	十一	周一	戊寅 戊午 甲子 己巳	虎	巨蟹座	无	小暑 (7, 7)	无	天下都城隍诞	中国共产党诞生日,香港回归纪念日	诸事不宜	诸事不宜
2058-07-02	二零五八 戊寅[虎]年	五月小	十二	周二	戊寅 戊午 乙丑 辛巳	虎	巨蟹座	无	小暑 (7, 7)	无	炳灵公诞	无	祭祀、雪冤、覃恩、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、整容、鼓铸、开仓、补垣、解除、修宫室、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
2058-07-03	二零五八 戊寅[虎]年	五月小	十三	周三	戊寅 戊午 丙寅 癸巳	虎	巨蟹座	无	小暑 (7, 7)	无	关圣降	无	宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、立券交易、雪冤、裁制、覃恩、缮城郭、招贤、举正直、上册、颁诏、祈福、酝酿、庆赐、解除、施恩、纳采、修仓库、临政、筑堤防、恤孤茕、宣政事、营建、求嗣、修宫室	祭祀、畋猎、远回、取鱼
2058-07-04	二零五八 戊寅[虎]年	五月小	十四	周四	戊寅 戊午 丁卯 乙巳	虎	巨蟹座	无	小暑 (7, 7)	无	无	无	祭祀、雪冤、覃恩、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、针刺、乘船渡水、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、取鱼、上册、颁诏、出师、祈福、安抚边境、酝酿、庆赐、开仓、鼓铸、整容、补垣、解除、修宫室、施恩、纳采、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣
2058-07-05	二零五八 戊寅[虎]年	五月小	十五	周五	戊寅 戊午 戊辰 丁巳	虎	巨蟹座	无	小暑 (7, 7)	无	无	无	出行、结婚姻、宴会、嫁娶、上表章、上官、入学、竖柱上梁、开市、纳财、牧养、雪冤、赴任、裁制、诉讼、覃恩、招贤、举正直、上册、颁诏、入宅、祈福、庆赐、解除、施恩、纳采、临政、搬移、求嗣、恤孤茕、宣政事	剃头、平治道涂、破屋坏垣、伐木、畋猎、破土、选将、补垣、修饰垣墙、出师、整容、整手足甲、安抚边境、取鱼、筑堤防、营建
2058-07-06	二零五八 戊寅[虎]年	五月小	十六	周六	戊寅 戊午 己巳 己巳	虎	巨蟹座	无	小暑 (7, 7)	无	天地元气造化万物之辰	无	祭祀、纳财、栽种、牧养、雪冤、裁制、缮城郭、覃恩、选将、塞穴、补垣、筑堤防、恤孤茕、安抚边境	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、疗目、针刺、招贤、布政事、举正直、上册、颁诏、出师、祈福、庆赐、开仓、解除、施恩、纳采、临政、搬移、营建、宣政事、求嗣、修宫室
2058-07-07	二零五八 戊寅[虎]年	五月小	十七	周日	戊寅 己未 庚午 辛巳	虎	巨蟹座	小暑	大暑 (7, 22)	无	无	中国人民抗日战争纪念日	安葬、赴任、诉讼、塞穴、酝酿、补垣	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、立券交易、疗目、针刺、缮城郭、苫盖、招贤、布政事、举正直、选将、纳畜、取鱼、上册、颁诏、出师、祈福、安抚边境、庆赐、开仓、解除、修宫室、施恩、纳采、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣
2058-07-08	二零五八 戊寅[虎]年	五月小	十八	周一	戊寅 己未 辛未 癸巳	虎	巨蟹座	无	大暑 (7, 22)	无	张天师诞	无	出行、宴会、上官、进人口、经络、纳财、牧养、立券交易、裁制、招贤、举正直、选将、纳畜、出师、庆赐、施恩、临政、搬移、安抚边境	剃头、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、安葬、启攒、补垣、修饰垣墙、整容、整手足甲、筑堤防、营建、上册
2058-07-09	二零五八 戊寅[虎]年	五月小	十九	周二	戊寅 己未 壬申 乙巳	虎	巨蟹座	无	大暑 (7, 22)	无	无	无	祭祀、沐浴、扫舍宇	结婚姻、宴会、安床、修造、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、启攒、立券交易、裁制、缮城郭、招贤、布政事、塞穴、纳畜、上册、颁诏、修饰垣墙、酝酿、庆赐、开仓、鼓铸、补垣、修宫室、纳采、修仓库、搬移、营建、筑堤防、宣政事
2058-07-10	二零五八 戊寅[虎]年	五月小	二十	周三	戊寅 己未 癸酉 丁巳	虎	巨蟹座	无	大暑 (7, 22)	无	无	无	出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、立券交易、赴任、裁制、缮城郭、选将、塞穴、纳畜、上册、入宅、出师、祈福、开仓、整容、补垣、修宫室、解除、纳采、整手足甲、修仓库、搬移、求嗣、安抚边境	祭祀、宴会、上官、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、针刺、招贤、布政事、举正直、颁诏、修饰垣墙、鼓铸、施恩、临政、筑堤防、营建、宣政事
2058-07-11	二零五八 戊寅[虎]年	五月小	廿一	周四	戊寅 己未 甲戌 己巳	虎	巨蟹座	无	大暑 (7, 22)	无	无	世界人口日	祭祀、雪冤、覃恩、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、取鱼、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、开仓、鼓铸、整容、补垣、解除、修宫室、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
