2072-07-01	二零七二 壬辰[龙]年 五月大十六	周五	无	天地元气造化万物之辰	中国共产党诞生日,香港回归纪念日	壬辰 丙午 戊寅 丁巳	无	小暑 (7, 6)	龙	巨蟹座	结婚姻、宴会、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、纳采、举正直、临政、修仓库、求嗣、解除、酝酿、裁制、庆赐、开仓、筑堤防、修宫室、施恩、祈福、缮城郭、立券交易	祭祀、安葬、选将、远回、出师
2072-07-02	二零七二 壬辰[龙]年 五月大十七	周六	无	无	无	壬辰 丙午 己卯 己巳	无	小暑 (7, 6)	龙	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼
2072-07-03	二零七二 壬辰[龙]年 五月大十八	周日	无	张天师诞	无	壬辰 丙午 庚辰 辛巳	无	小暑 (7, 6)	龙	巨蟹座	出行、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳采、举正直、临政、恤孤茕、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、覃恩、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、诉讼	嫁娶、伐木、畋猎、取鱼
2072-07-04	二零七二 壬辰[龙]年 五月大十九	周一	无	无	无	壬辰 丙午 辛巳 癸巳	无	小暑 (7, 6)	龙	巨蟹座	祭祀、栽种、牧养、纳畜、恤孤茕、修仓库、裁制、筑堤防、覃恩、补垣、雪冤、塞穴、缮城郭	出行、修置产室、开渠、穿井、畋猎、破土、启攒、针刺、整手足甲、修宫室、取鱼、开仓、疗目
2072-07-05	二零七二 壬辰[龙]年 五月大二十	周二	无	无	无	壬辰 丙午 壬午 乙巳	无	小暑 (7, 6)	龙	巨蟹座	覃恩、雪冤、入宅、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、远回、出师
2072-07-06	二零七二 壬辰[龙]年 五月大廿一	周三	无	无	无	壬辰 丁未 癸未 丁巳	小暑	大暑 (7, 22)	龙	巨蟹座	出行、宴会、嫁娶、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、布政事、酝酿、裁制、庆赐、覃恩、施恩、雪冤、招贤、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙
2072-07-07	二零七二 壬辰[龙]年 五月大廿二	周四	无	孝娥神诞	中国人民抗日战争纪念日	壬辰 丁未 甲申 己巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、鼓铸、布政事、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易、取鱼
2072-07-08	二零七二 壬辰[龙]年 五月大廿三	周五	无	无	无	壬辰 丁未 乙酉 辛巳	无	大暑 (7, 22)	龙	巨蟹座	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
2072-07-09	二零七二 壬辰[龙]年 五月大廿四	周六	无	无	无	壬辰 丁未 丙戌 癸巳	无	大暑 (7, 22)	龙	巨蟹座	诸事不宜	诸事不宜
2072-07-10	二零七二 壬辰[龙]年 五月大廿五	周日	无	无	无	壬辰 丁未 丁亥 乙巳	无	大暑 (7, 22)	龙	巨蟹座	出行、宴会、沐浴、冠带、竖柱上梁、经络、安碓硙、纳畜、临政、恤孤茕、赴任、酝酿、裁制、庆赐、入宅、修宫室、搬移、雪冤、缮城郭	嫁娶、剃头、求医疗病、上表章、修置产室、栽种、破土、安葬、启攒、安抚边境、上册、选将、出师、取鱼、乘船渡水、开仓、整容、解除
2072-07-11	二零七二 壬辰[龙]年 五月大廿六	周一	无	无	世界人口日	壬辰 丁未 戊子 丁巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、沐浴、剃头、捕捉、整手足甲、裁制、整容	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、修仓库、求嗣、解除、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、安抚边境、补垣、营建、选将、施恩、修宫室、搬移、塞穴、祈福、招贤、缮城郭、立券交易、远回、出师、取鱼
2072-07-12	二零七二 壬辰[龙]年 五月大廿七	周二	无	无	无	壬辰 丁未 己丑 己巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼、出师
2072-07-13	二零七二 壬辰[龙]年 五月大廿八	周三	无	无	无	壬辰 丁未 庚寅 辛巳	无	大暑 (7, 22)	龙	巨蟹座	结婚姻、宴会、安床、上表章、开市、纳财、栽种、牧养、安葬、纳畜、安抚边境、立券交易、选将、酝酿、开仓	祭祀、求医疗病、祈福、求嗣、解除
2072-07-14	二零七二 壬辰[龙]年 五月大廿九	周四	无	无	无	壬辰 丁未 辛卯 癸巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、出行、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、纳采、举正直、临政、修仓库、求嗣、解除、上册、裁制、庆赐、开仓、筑堤防、修宫室、施恩、祈福、缮城郭、立券交易	穿井、苫盖、出师、选将
2072-07-15	二零七二 壬辰[龙]年 五月大三十	周五	无	无	无	壬辰 丁未 壬辰 乙巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、进人口、纳财、捕捉、栽种、牧养、纳畜、入宅	上表章、冠带、修置产室、开渠、穿井、破土、启攒、鼓铸、布政事、修仓库、上册、颁诏、筑堤防、安抚边境、营建、宣政事、选将、招贤、出师
2072-07-16	二零七二 壬辰[龙]年 六月小初一	周六	无	无	无	壬辰 丁未 癸巳 丁巳	无	大暑 (7, 22)	龙	巨蟹座	入学、覃恩、雪冤、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
2072-07-17	二零七二 壬辰[龙]年 六月小初二	周日	无	无	无	壬辰 丁未 甲午 己巳	无	大暑 (7, 22)	龙	巨蟹座	祭祀、经络、安葬、恤孤茕、赴任、酝酿、裁制、覃恩、补垣、雪冤、塞穴、诉讼	冠带、立券、修置产室、开渠、穿井、捕捉、畋猎、针刺、疗目、开张、修宫室、取鱼、开仓、布政事、苫盖
2072-07-18	二零七二 壬辰[龙]年 六月小初三	周一	无	无	无	壬辰 丁未 乙未 辛巳	无	大暑 (7, 22)	龙	巨蟹座	出行、宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、酝酿、裁制、庆赐、安抚边境、选将、施恩、招贤、立券交易、出师	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙
