2082-07-01	二零八二 壬寅[虎]年 六月小初六	周三	无	无	中国共产党诞生日,香港回归纪念日	壬寅 丙午 庚午 辛巳	无	小暑 (7, 6)	虎	巨蟹座	诸事不宜	诸事不宜
2082-07-02	二零八二 壬寅[虎]年 六月小初七	周四	无	无	无	壬寅 丙午 辛未 癸巳	无	小暑 (7, 6)	虎	巨蟹座	祭祀、出行、宴会、沐浴、剃头、修造、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、破土、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	畋猎、取鱼
2082-07-03	二零八二 壬寅[虎]年 六月小初八	周五	无	无	无	壬寅 丙午 壬申 乙巳	无	小暑 (7, 6)	虎	巨蟹座	沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、安葬、补垣、裁制、入宅、解除、整容、选将、缮城郭、安抚边境、塞穴、上册、修宫室、整手足甲	祭祀、结婚姻、安床、开渠、穿井、招贤、举正直、施恩
2082-07-04	二零八二 壬寅[虎]年 六月小初九	周六	无	无	无	壬寅 丙午 癸酉 丁巳	无	小暑 (7, 6)	虎	巨蟹座	沐浴、剃头、扫舍宇、平治道涂、整容、修饰垣墙、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
2082-07-05	二零八二 壬寅[虎]年 六月小初十	周日	无	无	无	壬寅 丙午 甲戌 己巳	无	小暑 (7, 6)	虎	巨蟹座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、庆赐、临政、裁制、纳采、纳畜、酝酿、缮城郭、修宫室、祈福	求医疗病、开市、修置产室、栽种、开仓、解除
2082-07-06	二零八二 壬寅[虎]年 六月小十一	周一	无	无	无	壬寅 丁未 乙亥 辛巳	小暑	大暑 (7, 22)	虎	巨蟹座	结婚姻、宴会、沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、庆赐、临政、裁制、纳采、恤孤茕、纳畜、酝酿、雪冤、缮城郭、修宫室	嫁娶、求医疗病、上表章、开市、修置产室、栽种、破土、安葬、启攒、解除、选将、安抚边境、取鱼、上册、乘船渡水、出师、开仓
2082-07-07	二零八二 壬寅[虎]年 六月小十二	周二	无	无	中国人民抗日战争纪念日	壬寅 丁未 丙子 癸巳	无	大暑 (7, 22)	虎	巨蟹座	沐浴、捕捉、整手足甲	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、鼓铸、乘船渡水、纳畜、出师、解除、招贤、整容、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、取鱼、施恩、上册、塞穴、远回、修宫室、祈福
2082-07-08	二零八二 壬寅[虎]年 六月小十三	周三	无	无	无	壬寅 丁未 丁丑 乙巳	无	大暑 (7, 22)	虎	巨蟹座	赴任、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
2082-07-09	二零八二 壬寅[虎]年 六月小十四	周四	无	无	无	壬寅 丁未 戊寅 丁巳	无	大暑 (7, 22)	虎	巨蟹座	结婚姻、宴会、安床、修造、上官、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、庆赐、临政、搬移、裁制、开仓、纳采、纳畜、举正直、酝酿、缮城郭、施恩、修宫室、立券交易	祭祀、嫁娶、安葬、乘船渡水、出师
2082-07-10	二零八二 壬寅[虎]年 六月小十五	周五	无	无	无	壬寅 丁未 己卯 己巳	无	大暑 (7, 22)	虎	巨蟹座	祭祀、出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、庆赐、临政、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、招贤、筑堤防、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、上册、修宫室、立券交易、祈福	剃头、穿井、畋猎、整容、取鱼、苫盖、整手足甲
2082-07-11	二零八二 壬寅[虎]年 六月小十六	周六	无	无	世界人口日	壬寅 丁未 庚辰 辛巳	无	大暑 (7, 22)	虎	巨蟹座	祭祀、进人口、纳财、捕捉、栽种、牧养、恤孤茕、纳畜、覃恩、雪冤	嫁娶、冠带、修置产室、开渠、穿井、破土、安葬、启攒、修仓库、鼓铸、颁诏、出师、招贤、筑堤防、选将、营建、安抚边境、宣政事、上册
