2085-05-01	二零八五 乙巳[蛇]年 四月小初八	周二	国际劳动节	释迦牟尼佛诞	无	乙巳 庚辰 乙酉 辛巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、酝酿、颁诏、裁制、入宅、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、搬移、雪冤、招贤、祈福、缮城郭、立券交易、取鱼	诸事不忌
2085-05-02	二零八五 乙巳[蛇]年 四月小初九	周三	无	无	无	乙巳 庚辰 丙戌 癸巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、沐浴、求医疗病、解除	冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、破土、安葬、启攒、纳畜、鼓铸、布政事、修仓库、上册、颁诏、乘船渡水、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤、取鱼
2085-05-03	二零八五 乙巳[蛇]年 四月小初十	周四	无	无	世界新闻自由日	乙巳 庚辰 丁亥 乙巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、结婚姻、宴会、安床、沐浴、上表章、上官、竖柱上梁、纳财、牧养、纳畜、纳采、举正直、临政、恤孤茕、上册、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、招贤	嫁娶、剃头、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、筑堤防、取鱼、修饰垣墙、整容
2085-05-04	二零八五 乙巳[蛇]年 四月小十一	周五	无	无	中国青年节	乙巳 庚辰 戊子 丁巳	无	立夏 (5, 5)	蛇	金牛座	结婚姻、宴会、沐浴、入学、竖柱上梁、经络、纳财、牧养、纳畜、纳采、举正直、临政、赴任、酝酿、裁制、庆赐、安抚边境、选将、施恩、祈福、诉讼、出师	修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、启攒、营建、补垣、修饰垣墙、远回
2085-05-05	二零八五 乙巳[蛇]年 四月小十二	周六	无	无	马克思诞辰纪念日	乙巳 辛巳 己丑 己巳	立夏	小满 (5, 20)	蛇	金牛座	祭祀、出行、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳畜、纳采、举正直、临政、求嗣、解除、上册、酝酿、裁制、庆赐、开仓、施恩、祈福、立券交易	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、营建、补垣、选将、远回、取鱼、出师、修饰垣墙、乘船渡水、整容
2085-05-06	二零八五 乙巳[蛇]年 四月小十三	周日	无	无	无	乙巳 辛巳 庚寅 辛巳	无	小满 (5, 20)	蛇	金牛座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师、诉讼	祭祀、安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、鼓铸、整手足甲、布政事、酝酿、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
2085-05-07	二零八五 乙巳[蛇]年 四月小十四	周一	无	纯阳祖师诞	无	乙巳 辛巳 辛卯 癸巳	无	小满 (5, 20)	蛇	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	安床、剃头、冠带、进人口、经络、穿井、破屋坏垣、伐木、畋猎、鼓铸、整手足甲、布政事、酝酿、乘船渡水、开仓、入宅、整容、筑堤防、补垣、修饰垣墙、塞穴、取鱼
2085-05-08	二零八五 乙巳[蛇]年 四月小十五	周二	无	钟离祖师诞	世界红十字日	乙巳 辛巳 壬辰 乙巳	无	小满 (5, 20)	蛇	金牛座	诸事不宜	诸事不宜
2085-05-09	二零八五 乙巳[蛇]年 四月小十六	周三	无	无	无	乙巳 辛巳 癸巳 丁巳	无	小满 (5, 20)	蛇	金牛座	宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、雪冤、招贤、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙、祈福
2085-05-10	二零八五 乙巳[蛇]年 四月小十七	周四	无	十殿转轮王诞	无	乙巳 辛巳 甲午 己巳	无	小满 (5, 20)	蛇	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、安葬、整手足甲、恤孤茕、颁诏、裁制、庆赐、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、筑堤防、取鱼、修宫室、乘船渡水、开仓、苫盖
2085-05-11	二零八五 乙巳[蛇]年 四月小十八	周五	无	紫徽大帝诞	世界肥胖日	乙巳 辛巳 乙未 辛巳	无	小满 (5, 20)	蛇	金牛座	覃恩、赴任、雪冤、恤孤茕、入宅	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、启攒、鼓铸、整手足甲、布政事、乘船渡水、整容、筑堤防、补垣、修饰垣墙、远回、取鱼
