2092-01-01	二零九一 辛亥[猪]年 冬月大廿三	周二	元旦节	张仙诞	无	辛亥 庚子 辛酉 癸巳	无	小寒 (1, 5)	猪	摩羯座	沐浴、剃头、扫舍宇、捕捉、畋猎、赴任、入宅、整容	祭祀、结婚姻、宴会、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、求嗣、营建、缮城郭、施恩、安抚边境、修饰垣墙、宣政事、取鱼、上册、修宫室、祈福
2092-01-02	二零九一 辛亥[猪]年 冬月大廿四	周三	无	无	无	辛亥 庚子 壬戌 乙巳	无	小寒 (1, 5)	猪	摩羯座	结婚姻、宴会、修造、入学、竖柱上梁、开市、修置产室、安碓硙、栽种、牧养、庆赐、裁制、纳采、解除、恤孤茕、纳畜、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、修宫室、祈福	进人口、开渠、伐木、捕捉、畋猎、取鱼、开仓
2092-01-03	二零九一 辛亥[猪]年 冬月大廿五	周四	无	无	无	辛亥 庚子 癸亥 丁巳	无	小寒 (1, 5)	猪	摩羯座	沐浴、补垣、裁制、恤孤茕、筑堤防、覃恩、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、修仓库、颁诏、解除、出师、招贤、布政事、选将、举正直、疗目、针刺、求嗣、营建、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
2092-01-04	二零九一 辛亥[猪]年 冬月大廿六	周五	无	北方五道诞	无	辛亥 庚子 甲子 己巳	无	小寒 (1, 5)	猪	摩羯座	诸事不宜	诸事不宜
2092-01-05	二零九一 辛亥[猪]年 冬月大廿七	周六	无	无	无	辛亥 辛丑 乙丑 辛巳	小寒	大寒 (1, 20)	猪	摩羯座	祭祀、宴会、经络、纳财、牧养、庆赐、裁制、恤孤茕、纳畜、布政事、举正直、覃恩、酝酿、雪冤、施恩、立券交易	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、破土、启攒、整容、筑堤防、补垣、取鱼、修饰垣墙、整手足甲
2092-01-06	二零九一 辛亥[猪]年 冬月大廿八	周日	无	无	无	辛亥 辛丑 丙寅 癸巳	无	大寒 (1, 20)	猪	摩羯座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、解除、入宅、恤孤茕、出师、整容、布政事、选将、覃恩、求嗣、雪冤、缮城郭、安抚边境、整手足甲、修宫室、立券交易、祈福	祭祀、上表章、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、补垣、修仓库、鼓铸、颁诏、招贤、筑堤防、营建、修饰垣墙、宣政事、上册、塞穴
2092-01-07	二零九一 辛亥[猪]年 冬月大廿九	周一	无	无	无	辛亥 辛丑 丁卯 乙巳	无	大寒 (1, 20)	猪	摩羯座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
2092-01-08	二零九一 辛亥[猪]年 冬月大三十	周二	无	无	周恩来逝世纪念日	辛亥 辛丑 戊辰 丁巳	无	大寒 (1, 20)	猪	摩羯座	诸事不宜	诸事不宜
2092-01-09	二零九一 辛亥[猪]年 腊月小初一	周三	无	无	无	辛亥 辛丑 己巳 己巳	无	大寒 (1, 20)	猪	摩羯座	结婚姻、宴会、冠带、竖柱上梁、经络、安碓硙、庆赐、临政、裁制、纳采、纳畜、酝酿、缮城郭、修宫室	出行、求医疗病、上表章、开市、修置产室、栽种、破土、安葬、启攒、补垣、搬移、开仓、鼓铸、乘船渡水、解除、出师、选将、安抚边境、取鱼、上册、塞穴、整手足甲
2092-01-10	二零九一 辛亥[猪]年 腊月小初二	周四	无	无	中国公安110宣传日	辛亥 辛丑 庚午 辛巳	无	大寒 (1, 20)	猪	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、畋猎、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、赴任、颁诏、恤孤茕、解除、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、祈福、诉讼	安床、冠带、进人口、经络、开市、纳财、修置产室、启攒、开仓、乘船渡水、筑堤防、酝酿、取鱼、苫盖、修宫室、立券交易
2092-01-11	二零九一 辛亥[猪]年 腊月小初三	周五	无	无	无	辛亥 辛丑 辛未 癸巳	无	大寒 (1, 20)	猪	摩羯座	破屋坏垣、赴任、解除、入宅	剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、安葬、启攒、补垣、修仓库、鼓铸、颁诏、纳畜、出师、招贤、布政事、选将、整容、筑堤防、营建、安抚边境、修饰垣墙、宣政事、上册、塞穴、整手足甲
2092-01-12	二零九一 辛亥[猪]年 腊月小初四	周六	无	无	无	辛亥 辛丑 壬申 乙巳	无	大寒 (1, 20)	猪	摩羯座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、安葬、开仓、纳畜、整容、选将、酝酿、安抚边境、整手足甲	结婚姻、宴会、开渠、穿井、庆赐、求嗣、纳采
2092-01-13	二零九一 辛亥[猪]年 腊月小初五	周日	无	无	无	辛亥 辛丑 癸酉 丁巳	无	大寒 (1, 20)	猪	摩羯座	沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、扫舍宇、栽种、牧养、安葬、临政、裁制、修仓库、解除、筑堤防、整容、举正直、酝酿、缮城郭、施恩、上册、修宫室、整手足甲	宴会、畋猎、选将、苫盖、乘船渡水、出师
2092-01-14	二零九一 辛亥[猪]年 腊月小初六	周一	无	无	无	辛亥 辛丑 甲戌 己巳	无	大寒 (1, 20)	猪	摩羯座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、取鱼、上册、塞穴、修宫室、整手足甲、立券交易、祈福
2092-01-15	二零九一 辛亥[猪]年 腊月小初七	周二	无	无	无	辛亥 辛丑 乙亥 辛巳	无	大寒 (1, 20)	猪	摩羯座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、解除、恤孤茕、出师、纳畜、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、上册、修宫室、祈福	嫁娶、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、远回、整手足甲
2092-01-16	二零九一 辛亥[猪]年 腊月小初八	周三	无	腊八节-释迦如来成佛之辰	无	辛亥 辛丑 丙子 癸巳	无	大寒 (1, 20)	猪	摩羯座	祭祀、沐浴、经络、安葬、入宅、酝酿、塞穴	出行、安床、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、庆赐、开仓、修仓库、颁诏、解除、出师、招贤、布政事、选将、举正直、针刺、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、远回、修宫室、疗目
2092-01-17	二零九一 辛亥[猪]年 腊月小初九	周四	无	无	无	辛亥 辛丑 丁丑 乙巳	无	大寒 (1, 20)	猪	摩羯座	宴会、经络、纳财、庆赐、裁制、纳畜、举正直、酝酿、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、补垣、搬移、开仓、颁诏、解除、整容、筑堤防、求嗣、营建、取鱼、修饰垣墙、宣政事、上册、整手足甲、祈福
2092-01-18	二零九一 辛亥[猪]年 腊月小初十	周五	无	无	无	辛亥 辛丑 戊寅 丁巳	无	大寒 (1, 20)	猪	摩羯座	沐浴、扫舍宇	祭祀、上表章、开渠、穿井、安葬、启攒、补垣、颁诏、招贤、布政事、筑堤防、营建、宣政事、上册、塞穴
2092-01-19	二零九一 辛亥[猪]年 腊月小十一	周六	无	无	无	辛亥 辛丑 己卯 己巳	无	大寒 (1, 20)	猪	摩羯座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
