2093-06-01	二零九三 癸丑[牛]年 五月大初八	周一	无	南方五道诞	国际儿童节	癸丑 丁巳 戊戌 丁巳	无	芒种 (6, 5)	牛	双子座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、庆赐、临政、搬移、裁制、纳采、解除、入宅、整容、举正直、求嗣、缮城郭、施恩、修宫室、整手足甲、祈福	修仓库
2093-06-02	二零九三 癸丑[牛]年 五月大初九	周二	无	无	无	癸丑 丁巳 己亥 己巳	无	芒种 (6, 5)	牛	双子座	沐浴、破屋坏垣、解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、招贤、布政事、整容、筑堤防、营建、修饰垣墙、取鱼、宣政事、上册、塞穴、整手足甲
2093-06-03	二零九三 癸丑[牛]年 五月大初十	周三	无	无	无	癸丑 丁巳 庚子 辛巳	无	芒种 (6, 5)	牛	双子座	祭祀、宴会、沐浴、庆赐、裁制、颁诏、恤孤茕、覃恩、雪冤、宣政事	冠带、进人口、经络、开市、纳财、修置产室、畋猎、开仓、筑堤防、取鱼、修宫室、立券交易
2093-06-04	二零九三 癸丑[牛]年 五月大十一	周四	无	天下都城隍诞	无	癸丑 丁巳 辛丑 癸巳	无	芒种 (6, 5)	牛	双子座	祭祀、出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、庆赐、临政、裁制、纳采、修仓库、颁诏、恤孤茕、解除、纳畜、招贤、筑堤防、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、宣政事、上册、修宫室、立券交易、祈福	冠带、畋猎、取鱼、远回、乘船渡水
2093-06-05	二零九三 癸丑[牛]年 五月大十二	周五	无	炳灵公诞	世界环境日	癸丑 戊午 壬寅 乙巳	芒种	夏至 (6, 20)	牛	双子座	结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、庆赐、临政、裁制、纳采、立券交易、修仓库、筑堤防、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福	祭祀、剃头、开渠、穿井、整容、选将、远回、出师
2093-06-06	二零九三 癸丑[牛]年 五月大十三	周六	无	关圣降	全国爱眼日	癸丑 戊午 癸卯 丁巳	无	夏至 (6, 20)	牛	双子座	祭祀、赴任、入宅	求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、畋猎、安葬、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、针刺、营建、缮城郭、施恩、安抚边境、取鱼、宣政事、上册、塞穴、修宫室
2093-06-07	二零九三 癸丑[牛]年 五月大十四	周日	无	无	无	癸丑 戊午 甲辰 己巳	无	夏至 (6, 20)	牛	双子座	结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、赴任、颁诏、恤孤茕、解除、招贤、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、宣政事、上册、修宫室、祈福、诉讼	伐木、畋猎、取鱼、乘船渡水、出师
2093-06-08	二零九三 癸丑[牛]年 五月大十五	周一	无	无	世界海洋日	癸丑 戊午 乙巳 辛巳	无	夏至 (6, 20)	牛	双子座	补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、修仓库、颁诏、解除、出师、招贤、布政事、整容、举正直、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、整手足甲、祈福
2093-06-09	二零九三 癸丑[牛]年 五月大十六	周二	无	天地元气造化万物之辰	无	癸丑 戊午 丙午 癸巳	无	夏至 (6, 20)	牛	双子座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、苫盖、塞穴、整手足甲、修宫室、远回、立券交易、祈福
2093-06-10	二零九三 癸丑[牛]年 五月大十七	周三	无	无	无	癸丑 戊午 丁未 乙巳	无	夏至 (6, 20)	牛	双子座	宴会、沐浴、上官、进人口、经络、纳财、扫舍宇、临政、裁制、解除、纳畜、举正直、酝酿、施恩、整手足甲、立券交易	剃头、修造、启攒、搬移、纳采
2093-06-11	二零九三 癸丑[牛]年 五月大十八	周四	无	张天师诞	中国人口日	癸丑 戊午 戊申 丁巳	无	夏至 (6, 20)	牛	双子座	出行、沐浴、剃头、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、破土、安葬、补垣、搬移、裁制、入宅、解除、出师、整容、选将、求嗣、缮城郭、安抚边境、塞穴、上册、修宫室、整手足甲、祈福	祭祀、招贤
2093-06-12	二零九三 癸丑[牛]年 五月大十九	周五	无	无	无	癸丑 戊午 己酉 己巳	无	夏至 (6, 20)	牛	双子座	沐浴、剃头、扫舍宇、平治道涂、恤孤茕、整容、覃恩、雪冤、修饰垣墙	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、整手足甲、祈福
2093-06-13	二零九三 癸丑[牛]年 五月大二十	周六	无	无	无	癸丑 戊午 庚戌 辛巳	无	夏至 (6, 20)	牛	双子座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、安碓硙、庆赐、临政、裁制、纳采、恤孤茕、纳畜、布政事、覃恩、酝酿、雪冤、缮城郭、修宫室、祈福	求医疗病、开市、修置产室、栽种、开仓、解除
2093-06-14	二零九三 癸丑[牛]年 五月大廿一	周日	无	无	世界献血日	癸丑 戊午 辛亥 癸巳	无	夏至 (6, 20)	牛	双子座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
2093-06-15	二零九三 癸丑[牛]年 五月大廿二	周一	无	孝娥神诞	无	癸丑 戊午 壬子 乙巳	无	夏至 (6, 20)	牛	双子座	诸事不宜	诸事不宜
