2097-04-01	二零九七 丁巳[蛇]年 二月小十九	周一	无	观音大士诞	国际愚人节	丁巳 癸卯 戊午 丁巳	无	清明 (4, 4)	蛇	白羊座	祭祀、平治道涂、修饰垣墙	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、苫盖、立券交易、出师
2097-04-02	二零九七 丁巳[蛇]年 二月小二十	周二	无	无	国际儿童图书日	丁巳 癸卯 己未 己巳	无	清明 (4, 4)	蛇	白羊座	祭祀、出行、宴会、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、纳畜、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	修置产室、畋猎、针刺、取鱼、开仓
2097-04-03	二零九七 丁巳[蛇]年 二月小廿一	周三	无	普贤菩萨诞	无	丁巳 癸卯 庚申 辛巳	无	清明 (4, 4)	蛇	白羊座	祭祀、沐浴、扫舍宇、捕捉、恤孤茕、覃恩、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、鼓铸、布政事、酝酿、开仓、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易
2097-04-04	二零九七 丁巳[蛇]年 二月小廿二	周四	清明节	无	无	丁巳 甲辰 辛酉 癸巳	清明	谷雨 (4, 19)	蛇	白羊座	祭祀、结婚姻、嫁娶、沐浴、剃头、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、纳畜、整手足甲、临政、解除、酝酿、整容、安抚边境、祈福、立券交易、取鱼	出行、宴会、安床、修造、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、启攒、纳采、鼓铸、举正直、布政事、修仓库、求嗣、上册、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、缮城郭、出师
2097-04-05	二零九七 丁巳[蛇]年 二月小廿三	周五	无	无	无	丁巳 甲辰 壬戌 乙巳	无	谷雨 (4, 19)	蛇	白羊座	祭祀、沐浴、破屋坏垣、恤孤茕、解除、入宅、覃恩、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、畋猎、破土、启攒、鼓铸、布政事、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易、取鱼
2097-04-06	二零九七 丁巳[蛇]年 二月小廿四	周六	无	无	无	丁巳 甲辰 癸亥 丁巳	无	谷雨 (4, 19)	蛇	白羊座	安床、沐浴、纳财、栽种、牧养、纳畜、取鱼	出行、嫁娶、修造、求医疗病、畋猎、破土、安葬、启攒、搬移、祈福、开仓、修仓库、求嗣、解除
2097-04-07	二零九七 丁巳[蛇]年 二月小廿五	周日	无	无	世界卫生日	丁巳 甲辰 甲子 己巳	无	谷雨 (4, 19)	蛇	白羊座	祭祀、宴会、沐浴、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳畜、举正直、临政、恤孤茕、布政事、赴任、酝酿、裁制、庆赐、覃恩、施恩、雪冤、祈福、立券交易、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、营建、补垣、远回、修饰垣墙、开仓
2097-04-08	二零九七 丁巳[蛇]年 二月小廿六	周一	无	无	无	丁巳 甲辰 乙丑 辛巳	无	谷雨 (4, 19)	蛇	白羊座	进人口、纳财、捕捉、纳畜、覃恩、取鱼、雪冤、恤孤茕	出行、结婚姻、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、纳采、鼓铸、举正直、临政、修仓库、解除、上册、酝酿、颁诏、裁制、开仓、筑堤防、营建、宣政事、施恩、修宫室、搬移、招贤、缮城郭、立券交易
2097-04-09	二零九七 丁巳[蛇]年 二月小廿七	周二	无	无	无	丁巳 甲辰 丙寅 癸巳	无	谷雨 (4, 19)	蛇	白羊座	出行、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易	祭祀、嫁娶、伐木、畋猎、针刺、取鱼、乘船渡水
2097-04-10	二零九七 丁巳[蛇]年 二月小廿八	周三	无	无	无	丁巳 甲辰 丁卯 乙巳	无	谷雨 (4, 19)	蛇	白羊座	祭祀、恤孤茕、赴任、裁制、入宅、覃恩、补垣、雪冤、塞穴	剃头、冠带、修置产室、开渠、穿井、畋猎、针刺、疗目、取鱼、整容
2097-04-11	二零九七 丁巳[蛇]年 二月小廿九	周四	无	无	无	丁巳 甲辰 戊辰 丁巳	无	谷雨 (4, 19)	蛇	白羊座	恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
